date,time,currency,impact,actual,forecast,previous,day,event,detail
01/04/2008,01:00,CNY,red,58.4,,53.4,Tue,,
01/04/2008,02:30,CNY,orange,54.4,,52.8,Tue,,
01/04/2008,03:30,AUD,red,7.25%,7.25%,7.25%,Tue,,
01/04/2008,,AUD,red,,,,Tue,,
01/04/2008,03:45,JPY,yellow,1.32|2.3,,1.37|2.8,Tue,,
01/04/2008,06:00,EUR,orange,-1.6%,0.5%,0.9%,Tue,,
01/04/2008,06:30,AUD,orange,9.5%,,9.7%,Tue,,
01/04/2008,07:15,EUR,yellow,46.4,,46.7,Tue,,
01/04/2008,07:30,CHF,orange,55.3,60.0,60.5,Tue,,
01/04/2008,07:45,EUR,yellow,49.4,50.2,50.6,Tue,,
01/04/2008,07:50,EUR,yellow,51.9,52.0,52.0,Tue,,
01/04/2008,07:55,EUR,orange,-48K,-52K,-68K,Tue,,
01/04/2008,,EUR,yellow,55.1,54.9,54.9,Tue,,
01/04/2008,08:00,EUR,yellow,52.0,52.0,52.0,Tue,,
01/04/2008,08:30,GBP,red,51.3,51.1,51.3,Tue,,
01/04/2008,09:00,EUR,yellow,7.1%,7.1%,7.1%,Tue,,
01/04/2008,11:30,USD,yellow,-14.2%,,19.1%,Tue,,
01/04/2008,12:30,CAD,orange,0.5%,2.6%,3.6%,Tue,,
01/04/2008,,CAD,yellow,0.1%,0.7%,1.0%,Tue,,
01/04/2008,14:00,USD,red,48.6,47.5,48.3,Tue,,
01/04/2008,,USD,yellow,-0.3%,-1.0%,-1.0%,Tue,,
01/04/2008,,USD,yellow,83.5,75.1,75.5,Tue,,
01/04/2008,All Day,USD,yellow,15.1M,15.2M,15.4M,Tue,,
01/04/2008,23:50,JPY,yellow,0.0%,0.1%,0.1%,Tue,,
02/04/2008,06:30,CHF,orange,,,,Wed,,
02/04/2008,07:00,EUR,yellow,-14.4K,,53.4K,Wed,,
02/04/2008,08:30,GBP,orange,47.2,52.0,52.4,Wed,,
02/04/2008,,GBP,yellow,7.3B,9.6B,10.8B,Wed,,
02/04/2008,,GBP,yellow,73K,72K,74K,Wed,,
02/04/2008,,GBP,yellow,9.8B,8.1B,8.4B,Wed,,
02/04/2008,09:00,EUR,yellow,0.6%,0.5%,0.9%,Wed,,
02/04/2008,12:15,USD,red,8K,-40K,-18K,Wed,,
02/04/2008,12:30,CAD,orange,,,,Wed,,
02/04/2008,13:30,USD,red,,,,Wed,,
02/04/2008,14:00,USD,orange,-1.3%,-0.8%,-2.3%,Wed,,
02/04/2008,14:30,USD,yellow,7.3M,2.3M,0.1M,Wed,,
02/04/2008,20:30,GBP,orange,,,,Wed,,
02/04/2008,22:30,AUD,yellow,53.8,,53.2,Wed,,
03/04/2008,01:00,CNY,yellow,60.3,,46.9,Thu,,
03/04/2008,02:00,NZD,yellow,2.0%,,1.1%,Thu,,
03/04/2008,07:15,EUR,yellow,40.9,,46.1,Thu,,
03/04/2008,07:45,EUR,yellow,48.8,47.3,47.2,Thu,,
03/04/2008,07:50,EUR,yellow,57.3,57.3,57.3,Thu,,
03/04/2008,07:55,EUR,yellow,51.8,52.5,52.5,Thu,,
03/04/2008,08:00,EUR,yellow,51.6,51.7,51.7,Thu,,
03/04/2008,08:30,GBP,red,52.1,53.3,54.0,Thu,,
03/04/2008,,GBP,orange,,,,Thu,,
03/04/2008,08:55,EUR,yellow,4.24|2.0,,4.07|2.5,Thu,,
03/04/2008,09:00,EUR,orange,-0.5%,0.2%,0.5%,Thu,,
03/04/2008,10:30,EUR,orange,,,,Thu,,
03/04/2008,12:30,USD,orange,407K,366K,371K,Thu,,
03/04/2008,14:00,USD,red,,,,Thu,,
03/04/2008,,USD,red,,,,Thu,,
03/04/2008,,USD,red,49.6,48.5,49.3,Thu,,
03/04/2008,14:30,USD,yellow,-29B,-34B,-36B,Thu,,
03/04/2008,22:00,AUD,red,,,,Thu,,
03/04/2008,23:30,USD,yellow,,,,Thu,,
04/04/2008,All Day,CNY,gray,,,,Fri,,
04/04/2008,00:30,AUD,red,-0.1%,0.3%,-0.1%,Fri,,
04/04/2008,05:45,CHF,red,0.3%,0.2%,0.1%,Fri,,
04/04/2008,06:45,EUR,yellow,-22.7B,,-6.6B,Fri,,
04/04/2008,07:00,CHF,yellow,46B,,49B,Fri,,
04/04/2008,10:00,EUR,orange,-0.5%,0.8%,-0.7%,Fri,,
04/04/2008,11:00,CAD,red,14.6K,15.0K,43.3K,Fri,,
04/04/2008,,CAD,red,6.0%,5.8%,5.8%,Fri,,
04/04/2008,11:30,USD,yellow,9.4%,,-14.2%,Fri,,
04/04/2008,12:30,USD,red,-80K,-50K,-76K,Fri,,
04/04/2008,,USD,red,5.1%,5.0%,4.8%,Fri,,
04/04/2008,,USD,orange,0.3%,0.3%,0.3%,Fri,,
04/04/2008,12:45,USD,yellow,,,,Fri,,
04/04/2008,14:00,CAD,red,59.0,62.5,62.0,Fri,,
04/04/2008,18:45,USD,orange,,,,Fri,,
05/04/2008,14:00,NZD,gray,,,,Sat,,
05/04/2008,16:00,AUD,gray,,,,Sat,,
07/04/2008,01:30,AUD,red,0.1%,0.0%,1.4%,Mon,,
07/04/2008,,AUD,red,-3.29B,-2.52B,-2.54B,Mon,,
07/04/2008,,AUD,orange,-0.7%,,-2.1%,Mon,,
07/04/2008,05:00,JPY,yellow,50.0%,50.0%,36.4%,Mon,,
07/04/2008,05:45,CHF,yellow,2.5%,2.5%,2.5%,Mon,,
07/04/2008,06:45,EUR,yellow,-2.8B,-3.4B,-3.2B,Mon,,
07/04/2008,08:30,EUR,yellow,4.1,0.2,0.4,Mon,,
07/04/2008,10:00,EUR,orange,0.4%,-0.4%,1.4%,Mon,,
07/04/2008,12:30,CAD,red,-1.0%,0.9%,-3.5%,Mon,,
07/04/2008,19:00,USD,yellow,5.2B,5.5B,10.3B,Mon,,
07/04/2008,21:30,USD,yellow,,,,Mon,,
07/04/2008,22:00,NZD,red,-64,,-26,Mon,,
08/04/2008,01:30,AUD,yellow,-4,,-2,Tue,,
08/04/2008,05:00,JPY,yellow,36.9,36.0,33.6,Tue,,
08/04/2008,07:00,GBP,red,-2.5%,-0.3%,-0.4%,Tue,,
08/04/2008,11:30,USD,yellow,89.6,,92.9,Tue,,
08/04/2008,12:15,CAD,red,255K,225K,256K,Tue,,
