date,time,currency,impact,actual,forecast,previous,day,event,detail,timezone
01/04/2020,00:01,GBP,yellow,-0.8%,,-0.6%,Wed,,,Africa/Lagos
01/04/2020,00:50,JPY,yellow,-8,-10,0,Wed,,,Africa/Lagos
01/04/2020,,JPY,yellow,8,3,20,Wed,,,Africa/Lagos
01/04/2020,01:30,AUD,orange,,,,Wed,,,Africa/Lagos
01/04/2020,,AUD,yellow,19.9%,3.1%,-15.1%,Wed,,,Africa/Lagos
01/04/2020,,JPY,yellow,44.8,44.9,44.8,Wed,,,Africa/Lagos
01/04/2020,02:45,CNY,orange,50.1,45.0,40.3,Wed,,,Africa/Lagos
01/04/2020,06:30,AUD,yellow,-10.2%,,-6.0%,Wed,,,Africa/Lagos
01/04/2020,07:00,EUR,yellow,1.2%,0.1%,1.0%,Wed,,,Africa/Lagos
01/04/2020,08:15,EUR,yellow,45.7,44.0,50.4,Wed,,,Africa/Lagos
01/04/2020,08:30,CHF,yellow,43.7,42.3,49.5,Wed,,,Africa/Lagos
01/04/2020,08:45,EUR,yellow,40.3,41.1,48.7,Wed,,,Africa/Lagos
01/04/2020,08:50,EUR,yellow,43.2,42.9,42.9,Wed,,,Africa/Lagos
01/04/2020,08:55,EUR,yellow,45.4,45.6,45.7,Wed,,,Africa/Lagos
01/04/2020,09:00,EUR,yellow,44.5,44.7,44.8,Wed,,,Africa/Lagos
01/04/2020,,EUR,yellow,9.7%,10.0%,9.8%,Wed,,,Africa/Lagos
01/04/2020,09:30,GBP,yellow,47.8,47.1,48.0,Wed,,,Africa/Lagos
01/04/2020,10:00,EUR,yellow,7.3%,7.4%,7.4%,Wed,,,Africa/Lagos
01/04/2020,13:15,USD,red,-27K,-150K,179K,Wed,,,Africa/Lagos
01/04/2020,14:30,CAD,yellow,46.1,,51.8,Wed,,,Africa/Lagos
01/04/2020,14:45,USD,yellow,48.5,48.2,49.2,Wed,,,Africa/Lagos
01/04/2020,15:00,USD,red,49.1,44.9,50.1,Wed,,,Africa/Lagos
01/04/2020,,USD,yellow,-1.3%,0.6%,2.8%,Wed,,,Africa/Lagos
01/04/2020,,USD,yellow,37.4,41.6,45.9,Wed,,,Africa/Lagos
01/04/2020,All Day,USD,yellow,11.4M,12.2M,16.8M,Wed,,,Africa/Lagos
01/04/2020,15:30,USD,yellow,13.8M,3.7M,1.6M,Wed,,,Africa/Lagos
01/04/2020,22:37,USD,red,,,,Wed,,,Africa/Lagos
02/04/2020,00:50,JPY,yellow,2.8%,3.5%,3.6%,Thu,,,Africa/Lagos
02/04/2020,01:30,AUD,yellow,-11,,-2,Thu,,,Africa/Lagos
02/04/2020,04:35,JPY,yellow,0.02|4.2,,-0.10|3.2,Thu,,,Africa/Lagos
02/04/2020,07:00,GBP,yellow,0.8%,0.0%,0.3%,Thu,,,Africa/Lagos
02/04/2020,07:30,CHF,yellow,0.1%,0.1%,0.1%,Thu,,,Africa/Lagos
02/04/2020,08:00,EUR,yellow,302.3K,27.7K,-7.8K,Thu,,,Africa/Lagos
02/04/2020,09:53,EUR,yellow,0.69|2.0,,0.66|2.2,Thu,,,Africa/Lagos
02/04/2020,09:59,EUR,yellow,0.04|2.7,,-0.32|2.2,Thu,,,Africa/Lagos
02/04/2020,10:00,EUR,yellow,-0.6%,-0.3%,0.2%,Thu,,,Africa/Lagos
02/04/2020,12:30,USD,yellow,266.9%,,-26.3%,Thu,,,Africa/Lagos
02/04/2020,13:30,CAD,orange,-1.0B,-2.3B,-1.7B,Thu,,,Africa/Lagos
02/04/2020,,USD,red,6648K,3600K,3307K,Thu,,,Africa/Lagos
02/04/2020,,USD,yellow,-39.9B,-40.6B,-45.5B,Thu,,,Africa/Lagos
02/04/2020,15:00,USD,yellow,0.0%,0.2%,-0.5%,Thu,,,Africa/Lagos
02/04/2020,15:30,USD,yellow,-19B,-31B,-29B,Thu,,,Africa/Lagos
02/04/2020,22:23,USD,red,,,,Thu,,,Africa/Lagos
02/04/2020,22:30,AUD,yellow,37.9,,42.7,Thu,,,Africa/Lagos
03/04/2020,02:45,CNY,orange,43.0,39.6,26.5,Fri,,,Africa/Lagos
03/04/2020,07:45,EUR,yellow,-35.2B,,-20.0B,Fri,,,Africa/Lagos
03/04/2020,08:15,EUR,yellow,23.0,25.6,52.1,Fri,,,Africa/Lagos
03/04/2020,08:45,EUR,yellow,17.4,22.4,52.1,Fri,,,Africa/Lagos
03/04/2020,08:50,EUR,yellow,27.4,29.0,29.0,Fri,,,Africa/Lagos
03/04/2020,08:55,EUR,yellow,31.7,34.3,34.5,Fri,,,Africa/Lagos
03/04/2020,09:00,EUR,yellow,26.4,28.2,28.4,Fri,,,Africa/Lagos
03/04/2020,09:30,GBP,orange,34.5,34.7,35.7,Fri,,,Africa/Lagos
03/04/2020,10:00,EUR,yellow,0.9%,0.1%,0.7%,Fri,,,Africa/Lagos
03/04/2020,13:30,USD,red,0.4%,0.2%,0.3%,Fri,,,Africa/Lagos
03/04/2020,,USD,red,-701K,-100K,275K,Fri,,,Africa/Lagos
03/04/2020,,USD,red,4.4%,3.8%,3.5%,Fri,,,Africa/Lagos
03/04/2020,14:45,USD,yellow,39.8,38.7,39.1,Fri,,,Africa/Lagos
03/04/2020,15:00,USD,orange,52.5,43.5,57.3,Fri,,,Africa/Lagos
04/04/2020,15:00,NZD,gray,,,,Sat,,,Africa/Lagos
04/04/2020,17:00,AUD,gray,,,,Sat,,,Africa/Lagos
04/04/2020,20:30,USD,red,,,,Sat,,,Africa/Lagos
05/04/2020,23:45,USD,red,,,,Sun,,,Africa/Lagos
06/04/2020,00:01,GBP,yellow,-34,,-9,Mon,,,Africa/Lagos
06/04/2020,All Day,CNY,gray,,,,Mon,,,Africa/Lagos
06/04/2020,02:00,AUD,yellow,0.2%,,-0.1%,Mon,,,Africa/Lagos
