date,time,currency,impact,event,detail,actual,forecast,previous,day
01/08/2012,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38653,50.1,50.4,50.2,Wed
01/08/2012,01:30,AUD,orange,HPI q/q,https://www.forexfactory.com/calendar?month=august.2012#detail=39600,0.5%,-0.5%,-0.1%,Wed
01/08/2012,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38652,49.3,,49.5,Wed
01/08/2012,06:00,GBP,orange,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=august.2012#detail=40597,-0.7%,-0.1%,-0.6%,Wed
01/08/2012,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=august.2012#detail=42031,,,,Wed
01/08/2012,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=august.2012#detail=39187,-9.8%,,-9.9%,Wed
01/08/2012,07:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=43856,42.3,,41.1,Wed
01/08/2012,07:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=43510,44.3,44.2,44.6,Wed
01/08/2012,07:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=58950,43.4,43.6,43.6,Wed
01/08/2012,07:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=59008,43.0,43.4,43.3,Wed
01/08/2012,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38506,44.0,44.1,44.1,Wed
01/08/2012,08:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38551,45.4,48.6,48.4,Wed
01/08/2012,12:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=august.2012#detail=38337,163K,121K,172K,Wed
01/08/2012,13:00,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=43685,51.4,51.9,51.8,Wed
01/08/2012,13:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=59522,53.1,,54.8,Wed
01/08/2012,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38482,49.8,50.3,49.7,Wed
01/08/2012,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=august.2012#detail=40360,0.4%,0.5%,1.6%,Wed
01/08/2012,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=august.2012#detail=38483,39.5,39.3,37.0,Wed
01/08/2012,14:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=august.2012#detail=56280,2.9%,,-1.2%,Wed
01/08/2012,,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=august.2012#detail=41626,-6.5M,-1.5M,2.7M,Wed
01/08/2012,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=august.2012#detail=39954,14.1M,14.0M,14.1M,Wed
01/08/2012,18:13,USD,red,FOMC Statement,https://www.forexfactory.com/calendar?month=august.2012#detail=38413,,,,Wed
01/08/2012,,USD,orange,Federal Funds Rate,https://www.forexfactory.com/calendar?month=august.2012#detail=38412,<0.25%,<0.25%,<0.25%,Wed
01/08/2012,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=august.2012#detail=39162,8.6%,6.2%,5.9%,Wed
02/08/2012,01:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=august.2012#detail=40074,-0.5%,,-2.4%,Thu
02/08/2012,01:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=august.2012#detail=39496,0.01B,-0.36B,-0.31B,Thu
02/08/2012,,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=august.2012#detail=39495,1.0%,0.6%,0.8%,Thu
02/08/2012,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=august.2012#detail=49041,0.77|2.6,,0.84|3.1,Thu
02/08/2012,07:00,EUR,orange,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=august.2012#detail=44035,-27.8K,,-98.9K,Thu
02/08/2012,07:15,CHF,red,Retail Sales y/y,https://www.forexfactory.com/calendar?month=august.2012#detail=39287,3.7%,2.8%,6.4%,Thu
02/08/2012,07:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38507,48.6,47.1,48.1,Thu
02/08/2012,08:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38550,50.9,48.2,48.2,Thu
02/08/2012,08:46,EUR,red,Spanish 10-y Bond Auction,https://www.forexfactory.com/calendar?month=august.2012#detail=44116,6.65|2.4,,6.43|3.2,Thu
02/08/2012,09:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=august.2012#detail=41277,-0.5%,-0.3%,-0.5%,Thu
02/08/2012,11:00,GBP,red,Asset Purchase Facility,https://www.forexfactory.com/calendar?month=august.2012#detail=38789,375B,375B,375B,Thu
02/08/2012,,GBP,red,Official Bank Rate,https://www.forexfactory.com/calendar?month=august.2012#detail=38784,0.50%,0.50%,0.50%,Thu
02/08/2012,11:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=august.2012#detail=38338,-44.5%,,-9.4%,Thu
02/08/2012,11:45,EUR,red,Main Refinancing Rate,https://www.forexfactory.com/calendar?month=august.2012#detail=38779,0.75%,0.75%,0.75%,Thu
02/08/2012,12:30,EUR,red,ECB Press Conference,https://www.forexfactory.com/calendar?month=august.2012#detail=38781,,,,Thu
02/08/2012,,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=august.2012#detail=39830,365K,375K,357K,Thu
02/08/2012,14:00,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=august.2012#detail=41065,-0.5%,0.4%,0.5%,Thu
02/08/2012,14:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=august.2012#detail=39778,28B,22B,26B,Thu
02/08/2012,23:29,AUD,orange,AIG Services Index,https://www.forexfactory.com/calendar?month=august.2012#detail=38442,46.5,,48.8,Thu
03/08/2012,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=42259,55.6,,56.7,Fri
03/08/2012,02:30,CNY,yellow,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=54029,53.1,,52.3,Fri
03/08/2012,07:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=43952,43.7,,43.4,Fri
03/08/2012,07:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=43570,43.0,43.5,43.1,Fri
03/08/2012,07:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=59183,50.0,50.2,50.2,Fri
03/08/2012,07:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=59195,50.3,49.7,49.7,Fri
03/08/2012,08:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38523,47.9,47.6,47.6,Fri
03/08/2012,08:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=august.2012#detail=38549,51.0,51.6,51.3,Fri
03/08/2012,09:00,EUR,orange,Retail Sales m/m,https://www.forexfactory.com/calendar?month=august.2012#detail=41289,0.1%,0.1%,0.8%,Fri
03/08/2012,12:30,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=august.2012#detail=38303,163K,101K,64K,Fri
