date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/08/2017,00:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=august.2017#detail=68264,56.0,,55.0,Tue,Africa/Lagos
01/08/2017,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=70160,52.1,52.2,52.2,Tue,Africa/Lagos
01/08/2017,02:45,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=70232,51.1,50.5,50.4,Tue,Africa/Lagos
01/08/2017,04:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=august.2017#detail=69376,0.07|4.2,,0.08|4.8,Tue,Africa/Lagos
01/08/2017,05:30,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=august.2017#detail=68442,,,,Tue,Africa/Lagos
01/08/2017,,AUD,orange,Cash Rate,https://www.forexfactory.com/calendar?month=august.2017#detail=68441,1.50%,1.50%,1.50%,Tue,Africa/Lagos
01/08/2017,06:00,JPY,yellow,BOJ Core CPI y/y,https://www.forexfactory.com/calendar?month=august.2017#detail=68901,0.3%,0.2%,0.3%,Tue,Africa/Lagos
01/08/2017,07:00,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=65939,0.3%,-0.1%,1.1%,Tue,Africa/Lagos
01/08/2017,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=august.2017#detail=67958,,,,Tue,Africa/Lagos
01/08/2017,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=august.2017#detail=68469,17.1%,,23.7%,Tue,Africa/Lagos
01/08/2017,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64766,54.0,54.9,54.7,Tue,Africa/Lagos
01/08/2017,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64767,55.1,55.2,55.2,Tue,Africa/Lagos
01/08/2017,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64768,54.9,55.4,55.4,Tue,Africa/Lagos
01/08/2017,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64770,58.1,58.3,58.3,Tue,Africa/Lagos
01/08/2017,,EUR,yellow,German Unemployment Change,https://www.forexfactory.com/calendar?month=august.2017#detail=66198,-9K,-4K,6K,Tue,Africa/Lagos
01/08/2017,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64769,56.6,56.8,56.8,Tue,Africa/Lagos
01/08/2017,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64771,55.1,54.4,54.2,Tue,Africa/Lagos
01/08/2017,10:00,EUR,orange,Prelim Flash GDP q/q,https://www.forexfactory.com/calendar?month=august.2017#detail=66042,0.6%,0.6%,0.6%,Tue,Africa/Lagos
01/08/2017,10:38,GBP,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=august.2017#detail=74139,1.27|2.6,,1.38|2.3,Tue,Africa/Lagos
01/08/2017,13:30,USD,orange,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=66590,0.1%,0.1%,0.1%,Tue,Africa/Lagos
01/08/2017,,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=66588,0.1%,0.1%,0.2%,Tue,Africa/Lagos
01/08/2017,,USD,yellow,Personal Income m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=66587,0.0%,0.4%,0.3%,Tue,Africa/Lagos
01/08/2017,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=65217,55.5,,54.7,Tue,Africa/Lagos
01/08/2017,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64772,53.3,53.2,53.2,Tue,Africa/Lagos
01/08/2017,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64925,56.3,56.4,57.8,Tue,Africa/Lagos
01/08/2017,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=66720,-1.3%,0.4%,0.3%,Tue,Africa/Lagos
01/08/2017,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=august.2017#detail=64924,62.0,56.5,55.0,Tue,Africa/Lagos
01/08/2017,All Day,USD,yellow,Wards Total Vehicle Sales,https://www.forexfactory.com/calendar?month=august.2017#detail=110333,16.7M,16.8M,16.6M,Tue,Africa/Lagos
01/08/2017,15:18,NZD,orange,GDT Price Index,https://www.forexfactory.com/calendar?month=august.2017#detail=65637,-1.6%,,0.2%,Tue,Africa/Lagos
01/08/2017,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=august.2017#detail=66961,16.7M,16.8M,16.5M,Tue,Africa/Lagos
01/08/2017,21:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=august.2017#detail=99122,,,,Tue,Africa/Lagos
01/08/2017,23:45,NZD,red,Employment Change q/q,https://www.forexfactory.com/calendar?month=august.2017#detail=65737,-0.2%,0.7%,1.1%,Tue,Africa/Lagos
01/08/2017,,NZD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=august.2017#detail=65736,4.8%,4.8%,4.9%,Tue,Africa/Lagos
01/08/2017,,NZD,yellow,Labor Cost Index q/q,https://www.forexfactory.com/calendar?month=august.2017#detail=65738,0.4%,0.5%,0.4%,Tue,Africa/Lagos
02/08/2017,00:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=august.2017#detail=65348,-0.4%,,-0.3%,Wed,Africa/Lagos
02/08/2017,00:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=august.2017#detail=69009,15.6%,16.6%,17.0%,Wed,Africa/Lagos
02/08/2017,02:30,AUD,orange,Building Approvals m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=68031,10.9%,1.2%,-5.4%,Wed,Africa/Lagos
02/08/2017,06:00,JPY,yellow,Consumer Confidence,https://www.forexfactory.com/calendar?month=august.2017#detail=69133,43.8,43.5,43.3,Wed,Africa/Lagos
02/08/2017,06:45,CHF,yellow,SECO Consumer Climate,https://www.forexfactory.com/calendar?month=august.2017#detail=67610,-3,-3,-8,Wed,Africa/Lagos
02/08/2017,08:00,EUR,orange,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=august.2017#detail=65113,-26.9K,-66.5K,-98.3K,Wed,Africa/Lagos
02/08/2017,08:15,CHF,yellow,Retail Sales y/y,https://www.forexfactory.com/calendar?month=august.2017#detail=65833,1.5%,1.3%,-0.8%,Wed,Africa/Lagos
02/08/2017,08:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=67599,60.9,58.9,60.1,Wed,Africa/Lagos
02/08/2017,09:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64905,51.9,54.3,54.8,Wed,Africa/Lagos
02/08/2017,10:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=66043,-0.1%,-0.1%,-0.3%,Wed,Africa/Lagos
02/08/2017,10:34,EUR,yellow,German 10-y Bond Auction,https://www.forexfactory.com/calendar?month=august.2017#detail=74140,0.49|1.5,,0.59|1.4,Wed,Africa/Lagos
02/08/2017,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=august.2017#detail=67515,178K,187K,191K,Wed,Africa/Lagos
02/08/2017,15:30,USD,red,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=august.2017#detail=64287,-1.5M,-3.2M,-7.2M,Wed,Africa/Lagos
03/08/2017,00:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=august.2017#detail=68289,56.4,,54.8,Thu,Africa/Lagos
03/08/2017,01:58,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=65611,-0.8%,,2.1%,Thu,Africa/Lagos
03/08/2017,02:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=august.2017#detail=68211,0.86B,1.78B,2.02B,Thu,Africa/Lagos
03/08/2017,02:45,CNY,yellow,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=70194,51.5,51.9,51.6,Thu,Africa/Lagos
03/08/2017,08:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64851,57.6,58.4,58.3,Thu,Africa/Lagos
03/08/2017,08:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64852,56.3,54.2,53.6,Thu,Africa/Lagos
03/08/2017,08:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64854,56.0,55.9,55.9,Thu,Africa/Lagos
03/08/2017,08:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64855,53.1,53.5,53.5,Thu,Africa/Lagos
03/08/2017,09:00,EUR,yellow,ECB Economic Bulletin,https://www.forexfactory.com/calendar?month=august.2017#detail=64486,,,,Thu,Africa/Lagos
03/08/2017,,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64853,55.4,55.4,55.4,Thu,Africa/Lagos
03/08/2017,09:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=august.2017#detail=64856,53.8,53.6,53.4,Thu,Africa/Lagos
03/08/2017,09:45,EUR,yellow,Spanish 10-y Bond Auction,https://www.forexfactory.com/calendar?month=august.2017#detail=64547,1.27|1.9,,1.65|1.2,Thu,Africa/Lagos
03/08/2017,10:00,EUR,yellow,Retail Sales m/m,https://www.forexfactory.com/calendar?month=august.2017#detail=66044,0.5%,0.0%,0.4%,Thu,Africa/Lagos
03/08/2017,10:06,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=august.2017#detail=64557,0.75|2.1,,0.82|2.0,Thu,Africa/Lagos
03/08/2017,12:00,GBP,red,BOE Monetary Policy Report,https://www.forexfactory.com/calendar?month=august.2017#detail=66437,,,,Thu,Africa/Lagos
03/08/2017,,GBP,red,Monetary Policy Summary,https://www.forexfactory.com/calendar?month=august.2017#detail=66438,,,,Thu,Africa/Lagos
03/08/2017,,GBP,red,MPC Official Bank Rate Votes,https://www.forexfactory.com/calendar?month=august.2017#detail=66440,2-0-6,2-0-6,3-0-5,Thu,Africa/Lagos
03/08/2017,,GBP,red,Official Bank Rate,https://www.forexfactory.com/calendar?month=august.2017#detail=66441,0.25%,0.25%,0.25%,Thu,Africa/Lagos
03/08/2017,,GBP,orange,Asset Purchase Facility,https://www.forexfactory.com/calendar?month=august.2017#detail=66436,435B,435B,435B,Thu,Africa/Lagos
