date,time,currency,impact,actual,forecast,previous,day,event,detail,timezone
01/08/2022,01:30,JPY,yellow,52.1,52.2,52.2,Mon,,,Africa/Lagos
01/08/2022,02:04,AUD,yellow,1.2%,,0.3%,Mon,,,Africa/Lagos
01/08/2022,02:30,AUD,yellow,-1.1%,,0.4%,Mon,,,Africa/Lagos
01/08/2022,02:45,CNY,yellow,50.4,51.6,51.7,Mon,,,Africa/Lagos
01/08/2022,07:00,EUR,yellow,-1.6%,0.4%,1.2%,Mon,,,Africa/Lagos
01/08/2022,All Day,CHF,gray,,,,Mon,,,Africa/Lagos
01/08/2022,08:15,EUR,yellow,48.7,49.9,52.6,Mon,,,Africa/Lagos
01/08/2022,08:45,EUR,yellow,48.5,49.1,50.9,Mon,,,Africa/Lagos
01/08/2022,08:50,EUR,yellow,49.5,49.6,49.6,Mon,,,Africa/Lagos
01/08/2022,08:55,EUR,yellow,49.3,49.2,49.2,Mon,,,Africa/Lagos
01/08/2022,09:00,EUR,yellow,49.8,49.6,49.6,Mon,,,Africa/Lagos
01/08/2022,,EUR,yellow,8.1%,8.1%,8.2%,Mon,,,Africa/Lagos
01/08/2022,09:30,GBP,yellow,52.1,52.2,52.2,Mon,,,Africa/Lagos
01/08/2022,10:00,EUR,yellow,6.6%,6.6%,6.6%,Mon,,,Africa/Lagos
01/08/2022,All Day,CAD,gray,,,,Mon,,,Africa/Lagos
01/08/2022,14:45,USD,yellow,52.2,52.3,52.3,Mon,,,Africa/Lagos
01/08/2022,15:00,USD,red,52.8,52.3,53.0,Mon,,,Africa/Lagos
01/08/2022,,USD,yellow,-1.1%,0.3%,0.1%,Mon,,,Africa/Lagos
01/08/2022,,USD,yellow,60.0,74.9,78.5,Mon,,,Africa/Lagos
01/08/2022,19:00,USD,yellow,,,,Mon,,,Africa/Lagos
02/08/2022,00:50,JPY,yellow,2.8%,4.1%,3.9%,Tue,,,Africa/Lagos
02/08/2022,02:30,AUD,yellow,-0.7%,-5.3%,11.2%,Tue,,,Africa/Lagos
02/08/2022,04:35,JPY,yellow,0.17|3.0,,0.25|5.0,Tue,,,Africa/Lagos
02/08/2022,05:30,AUD,red,1.85%,1.85%,1.35%,Tue,,,Africa/Lagos
02/08/2022,,AUD,red,,,,Tue,,,Africa/Lagos
02/08/2022,07:00,GBP,yellow,0.1%,0.2%,0.2%,Tue,,,Africa/Lagos
02/08/2022,07:30,AUD,yellow,14.1%,,29.2%,Tue,,,Africa/Lagos
02/08/2022,08:00,CHF,yellow,-42,-31,-27,Tue,,,Africa/Lagos
02/08/2022,,EUR,yellow,3.2K,-40.3K,-42.4K,Tue,,,Africa/Lagos
02/08/2022,08:30,CHF,yellow,58.0,56.3,59.1,Tue,,,Africa/Lagos
02/08/2022,10:03,GBP,yellow,1.78|2.4,,2.15|2.5,Tue,,,Africa/Lagos
02/08/2022,14:30,CAD,yellow,52.5,,54.6,Tue,,,Africa/Lagos
02/08/2022,15:00,USD,red,10.70M,10.99M,11.30M,Tue,,,Africa/Lagos
02/08/2022,15:15,NZD,yellow,-5.0%,,-5.0%,Tue,,,Africa/Lagos
02/08/2022,All Day,USD,yellow,13.4M,13.4M,13.0M,Tue,,,Africa/Lagos
02/08/2022,21:30,USD,yellow,,,,Tue,,,Africa/Lagos
02/08/2022,23:30,AUD,yellow,45.3,,46.2,Tue,,,Africa/Lagos
02/08/2022,23:45,NZD,red,0.0%,0.4%,0.0%,Tue,,,Africa/Lagos
02/08/2022,,NZD,orange,3.3%,3.1%,3.2%,Tue,,,Africa/Lagos
02/08/2022,,NZD,yellow,1.3%,1.1%,0.7%,Tue,,,Africa/Lagos
02/08/2022,,USD,orange,,,,Tue,,,Africa/Lagos
03/08/2022,02:00,NZD,yellow,-2.2%,,-0.4%,Wed,,,Africa/Lagos
03/08/2022,02:45,CNY,yellow,55.5,54.0,54.5,Wed,,,Africa/Lagos
03/08/2022,07:00,EUR,yellow,6.4B,0.1B,0.8B,Wed,,,Africa/Lagos
03/08/2022,07:30,CHF,red,0.0%,-0.1%,0.5%,Wed,,,Africa/Lagos
03/08/2022,08:15,EUR,orange,53.8,52.0,54.0,Wed,,,Africa/Lagos
03/08/2022,08:45,EUR,yellow,48.4,50.1,51.6,Wed,,,Africa/Lagos
03/08/2022,08:50,EUR,yellow,53.2,52.1,52.1,Wed,,,Africa/Lagos
03/08/2022,08:55,EUR,yellow,49.7,49.2,49.2,Wed,,,Africa/Lagos
03/08/2022,09:00,EUR,yellow,51.2,50.6,50.6,Wed,,,Africa/Lagos
03/08/2022,,EUR,yellow,-1.1%,1.0%,2.0%,Wed,,,Africa/Lagos
03/08/2022,09:30,GBP,yellow,52.6,53.3,53.3,Wed,,,Africa/Lagos
03/08/2022,10:00,EUR,yellow,1.1%,1.0%,0.5%,Wed,,,Africa/Lagos
03/08/2022,,EUR,yellow,-1.2%,0.0%,0.4%,Wed,,,Africa/Lagos
03/08/2022,All Day,All,orange,,,,Wed,,,Africa/Lagos
03/08/2022,12:31,EUR,yellow,-76.1B,,-82.3B,Wed,,,Africa/Lagos
03/08/2022,14:45,USD,yellow,47.3,47.0,47.0,Wed,,,Africa/Lagos
03/08/2022,15:00,USD,red,56.7,53.5,55.3,Wed,,,Africa/Lagos
03/08/2022,,USD,yellow,2.0%,1.3%,1.8%,Wed,,,Africa/Lagos
03/08/2022,15:30,USD,yellow,4.5M,-1.4M,-4.5M,Wed,,,Africa/Lagos
04/08/2022,02:30,AUD,yellow,17.67B,14.00B,15.02B,Thu,,,Africa/Lagos
04/08/2022,07:00,EUR,yellow,-0.4%,-1.0%,-0.2%,Thu,,,Africa/Lagos
