date,time,currency,impact,actual,forecast,previous,day,event,detail,timezone
01/12/2021,00:50,JPY,yellow,1.2%,1.6%,5.3%,Wed,,,Africa/Lagos
01/12/2021,01:01,GBP,yellow,0.3%,,-0.4%,Wed,,,Africa/Lagos
01/12/2021,01:30,AUD,red,-1.9%,-2.7%,0.7%,Wed,,,Africa/Lagos
01/12/2021,,JPY,yellow,54.5,54.2,54.2,Wed,,,Africa/Lagos
01/12/2021,02:45,CNY,yellow,49.9,50.5,50.6,Wed,,,Africa/Lagos
01/12/2021,06:30,AUD,yellow,36.2%,,42.8%,Wed,,,Africa/Lagos
01/12/2021,08:00,EUR,yellow,-0.3%,1.0%,-1.9%,Wed,,,Africa/Lagos
01/12/2021,,GBP,yellow,0.9%,0.4%,0.7%,Wed,,,Africa/Lagos
01/12/2021,08:30,CHF,yellow,0.0%,-0.1%,0.3%,Wed,,,Africa/Lagos
01/12/2021,09:15,EUR,yellow,57.1,57.9,57.4,Wed,,,Africa/Lagos
01/12/2021,09:30,CHF,yellow,62.5,64.3,65.4,Wed,,,Africa/Lagos
01/12/2021,09:45,EUR,yellow,62.8,61.1,61.1,Wed,,,Africa/Lagos
01/12/2021,09:50,EUR,yellow,55.9,54.6,54.6,Wed,,,Africa/Lagos
01/12/2021,09:55,EUR,yellow,57.4,57.6,57.6,Wed,,,Africa/Lagos
01/12/2021,10:00,EUR,yellow,58.4,58.6,58.6,Wed,,,Africa/Lagos
01/12/2021,10:30,GBP,yellow,58.1,58.2,58.2,Wed,,,Africa/Lagos
01/12/2021,11:06,GBP,yellow,0.92|2.2,,1.14|2.7,Wed,,,Africa/Lagos
01/12/2021,All Day,All,red,,,,Wed,,,Africa/Lagos
01/12/2021,14:15,USD,red,534K,525K,570K,Wed,,,Africa/Lagos
01/12/2021,14:30,CAD,orange,1.3%,-1.1%,4.3%,Wed,,,Africa/Lagos
01/12/2021,15:00,GBP,red,,,,Wed,,,Africa/Lagos
01/12/2021,15:30,CAD,yellow,57.2,,57.7,Wed,,,Africa/Lagos
01/12/2021,15:45,USD,yellow,58.3,59.1,59.1,Wed,,,Africa/Lagos
01/12/2021,16:00,USD,red,,,,Wed,,,Africa/Lagos
01/12/2021,,USD,red,61.1,61.3,60.8,Wed,,,Africa/Lagos
01/12/2021,,USD,orange,,,,Wed,,,Africa/Lagos
01/12/2021,,USD,yellow,0.2%,0.4%,-0.1%,Wed,,,Africa/Lagos
01/12/2021,,USD,yellow,82.4,85.5,85.7,Wed,,,Africa/Lagos
01/12/2021,All Day,USD,yellow,12.9M,13.5M,13.0M,Wed,,,Africa/Lagos
01/12/2021,16:30,USD,orange,-0.9M,-1.5M,1.0M,Wed,,,Africa/Lagos
01/12/2021,20:00,USD,yellow,,,,Wed,,,Africa/Lagos
01/12/2021,22:45,NZD,yellow,0.7%,2.1%,3.2%,Wed,,,Africa/Lagos
02/12/2021,00:50,JPY,yellow,9.3%,10.3%,9.9%,Thu,,,Africa/Lagos
02/12/2021,01:30,AUD,yellow,11.22B,11.25B,11.82B,Thu,,,Africa/Lagos
02/12/2021,04:35,JPY,yellow,0.06|3.2,,0.11|3.1,Thu,,,Africa/Lagos
02/12/2021,06:00,JPY,yellow,39.2,40.3,39.2,Thu,,,Africa/Lagos
02/12/2021,08:30,CHF,yellow,1.2%,2.2%,2.6%,Thu,,,Africa/Lagos
02/12/2021,09:00,EUR,orange,-74.4K,5.3K,-0.7K,Thu,,,Africa/Lagos
02/12/2021,10:00,EUR,yellow,9.4%,9.1%,9.2%,Thu,,,Africa/Lagos
02/12/2021,10:47,EUR,yellow,0.39|2.1,,0.47|1.4,Thu,,,Africa/Lagos
02/12/2021,11:00,EUR,yellow,5.4%,3.6%,2.8%,Thu,,,Africa/Lagos
02/12/2021,,EUR,yellow,7.3%,7.3%,7.4%,Thu,,,Africa/Lagos
02/12/2021,11:02,EUR,yellow,-0.19|2.7,,0.16|1.8,Thu,,,Africa/Lagos
02/12/2021,All Day,All,red,,,,Thu,,,Africa/Lagos
02/12/2021,13:30,USD,yellow,-77.0%,,-71.7%,Thu,,,Africa/Lagos
02/12/2021,14:30,USD,orange,222K,238K,194K,Thu,,,Africa/Lagos
02/12/2021,,USD,yellow,,,,Thu,,,Africa/Lagos
02/12/2021,15:00,USD,orange,,,,Thu,,,Africa/Lagos
02/12/2021,16:30,USD,yellow,-59B,-59B,-21B,Thu,,,Africa/Lagos
02/12/2021,17:00,USD,yellow,,,,Thu,,,Africa/Lagos
02/12/2021,17:30,USD,orange,,,,Thu,,,Africa/Lagos
02/12/2021,,USD,yellow,,,,Thu,,,Africa/Lagos
02/12/2021,,USD,yellow,,,,Thu,,,Africa/Lagos
02/12/2021,22:30,AUD,yellow,57.0,,57.6,Thu,,,Africa/Lagos
03/12/2021,02:45,CNY,yellow,52.1,52.6,53.8,Fri,,,Africa/Lagos
03/12/2021,08:45,EUR,yellow,-171.6B,,-175.1B,Fri,,,Africa/Lagos
03/12/2021,,EUR,yellow,0.9%,0.7%,-1.5%,Fri,,,Africa/Lagos
03/12/2021,09:15,EUR,yellow,59.8,58.6,56.6,Fri,,,Africa/Lagos
03/12/2021,09:30,EUR,orange,,,,Fri,,,Africa/Lagos
03/12/2021,09:45,EUR,yellow,55.9,54.6,52.4,Fri,,,Africa/Lagos
03/12/2021,09:50,EUR,yellow,57.4,58.2,58.2,Fri,,,Africa/Lagos
03/12/2021,09:55,EUR,yellow,52.7,53.4,53.4,Fri,,,Africa/Lagos
03/12/2021,10:00,EUR,yellow,55.9,56.6,56.6,Fri,,,Africa/Lagos
03/12/2021,10:30,GBP,yellow,58.5,58.6,58.6,Fri,,,Africa/Lagos
03/12/2021,11:00,EUR,yellow,0.2%,0.3%,-0.4%,Fri,,,Africa/Lagos
