date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/02/2011,00:30,AUD,orange,HPI q/q,https://www.forexfactory.com/calendar?month=february.2011#detail=33316,0.7%,0.0%,-0.3%,Tue,Africa/Lagos
01/02/2011,00:30,AUD,orange,NAB Business Confidence,https://www.forexfactory.com/calendar?month=february.2011#detail=34517,-3,,6,Tue,Africa/Lagos
01/02/2011,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2011#detail=35046,52.9,54.1,53.9,Tue,Africa/Lagos
01/02/2011,01:30,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=february.2011#detail=36773,-0.4%,0.9%,0.2%,Tue,Africa/Lagos
01/02/2011,02:05,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=february.2011#detail=34321,3.8%,,2.0%,Tue,Africa/Lagos
01/02/2011,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2011#detail=35045,54.5,,54.4,Tue,Africa/Lagos
01/02/2011,03:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=february.2011#detail=32665,4.75%,4.75%,4.75%,Tue,Africa/Lagos
01/02/2011,03:30,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=february.2011#detail=32666,,,,Tue,Africa/Lagos
01/02/2011,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=february.2011#detail=49023,1.24|2.7,,1.21|3.0,Tue,Africa/Lagos
01/02/2011,05:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=february.2011#detail=36111,48.7%,,48.8%,Tue,Africa/Lagos
01/02/2011,07:00,GBP,red,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=february.2011#detail=36578,-0.1%,-0.3%,0.4%,Tue,Africa/Lagos
01/02/2011,08:15,CHF,red,Retail Sales y/y,https://www.forexfactory.com/calendar?month=february.2011#detail=36634,-0.4%,2.6%,1.8%,Tue,Africa/Lagos
01/02/2011,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2011#detail=43838,52.0,,51.5,Tue,Africa/Lagos
