date,time,currency,impact,actual,forecast,previous,day,event,detail,timezone
01/02/2016,00:54,CNY,orange,53.5,,54.4,Mon,,,Africa/Lagos
01/02/2016,00:56,CNY,red,49.4,49.6,49.7,Mon,,,Africa/Lagos
01/02/2016,01:45,CNY,red,48.4,48.1,48.2,Mon,,,Africa/Lagos
01/02/2016,02:00,JPY,yellow,52.3,52.4,52.4,Mon,,,Africa/Lagos
01/02/2016,05:30,AUD,yellow,-25.8%,,-22.7%,Mon,,,Africa/Lagos
01/02/2016,08:15,EUR,orange,55.4,52.5,53.0,Mon,,,Africa/Lagos
01/02/2016,08:30,CHF,yellow,50.0,51.0,52.1,Mon,,,Africa/Lagos
01/02/2016,08:45,EUR,yellow,53.2,54.9,55.6,Mon,,,Africa/Lagos
01/02/2016,08:50,EUR,yellow,50.0,50.0,50.0,Mon,,,Africa/Lagos
01/02/2016,08:55,EUR,yellow,52.3,52.1,52.1,Mon,,,Africa/Lagos
01/02/2016,09:00,EUR,yellow,52.3,52.3,52.3,Mon,,,Africa/Lagos
01/02/2016,09:30,GBP,red,52.9,51.8,52.1,Mon,,,Africa/Lagos
01/02/2016,,GBP,orange,4.4B,4.9B,5.2B,Mon,,,Africa/Lagos
01/02/2016,,GBP,yellow,-0.2%,0.3%,0.4%,Mon,,,Africa/Lagos
01/02/2016,,GBP,yellow,71K,70K,70K,Mon,,,Africa/Lagos
01/02/2016,13:30,USD,orange,0.0%,0.1%,0.2%,Mon,,,Africa/Lagos
01/02/2016,,USD,orange,0.0%,0.1%,0.5%,Mon,,,Africa/Lagos
01/02/2016,,USD,yellow,0.3%,0.2%,0.3%,Mon,,,Africa/Lagos
01/02/2016,14:30,CAD,yellow,49.3,,47.5,Mon,,,Africa/Lagos
01/02/2016,14:45,USD,yellow,52.4,52.7,52.7,Mon,,,Africa/Lagos
01/02/2016,15:00,USD,red,48.2,48.6,48.2,Mon,,,Africa/Lagos
01/02/2016,,USD,yellow,0.1%,0.6%,-0.6%,Mon,,,Africa/Lagos
