date,time,currency,impact,event,detail,actual,forecast,previous,day
01/02/2017,00:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=65342,-1.7%,,-1.4%,Wed
01/02/2017,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=february.2017#detail=69716,,,,Wed
01/02/2017,00:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=70149,52.7,52.8,52.8,Wed
01/02/2017,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=68571,51.3,51.2,51.4,Wed
01/02/2017,,CNY,orange,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=68570,54.6,,54.5,Wed
01/02/2017,05:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=68459,55.7%,,44.8%,Wed
01/02/2017,07:00,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=65933,0.2%,0.0%,0.8%,Wed
01/02/2017,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64724,55.6,55.1,55.3,Wed
01/02/2017,08:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=65863,54.6,56.1,56.0,Wed
01/02/2017,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64725,53.0,53.3,53.2,Wed
01/02/2017,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64726,53.6,53.4,53.4,Wed
01/02/2017,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64727,56.4,56.5,56.5,Wed
01/02/2017,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64728,55.2,55.1,55.1,Wed
01/02/2017,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64729,55.9,55.9,56.1,Wed
01/02/2017,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=february.2017#detail=67485,246K,165K,151K,Wed
01/02/2017,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=65211,53.5,,51.8,Wed
01/02/2017,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64730,55.0,55.1,55.1,Wed
01/02/2017,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64911,56.0,55.0,54.7,Wed
01/02/2017,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=66707,-0.2%,0.2%,0.9%,Wed
01/02/2017,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=february.2017#detail=64913,69.0,66.0,65.5,Wed
01/02/2017,All Day,USD,yellow,Wards Total Vehicle Sales,https://www.forexfactory.com/calendar?month=february.2017#detail=110327,17.5M,17.5M,18.1M,Wed
01/02/2017,15:30,USD,red,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=february.2017#detail=64221,6.5M,2.6M,2.8M,Wed
01/02/2017,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=february.2017#detail=66948,17.6M,17.9M,18.4M,Wed
01/02/2017,19:00,USD,red,Federal Funds Rate,https://www.forexfactory.com/calendar?month=february.2017#detail=64406,0.75%,0.75%,0.75%,Wed
01/02/2017,,USD,red,FOMC Statement,https://www.forexfactory.com/calendar?month=february.2017#detail=64407,,,,Wed
01/02/2017,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=69022,22.6%,24.2%,23.1%,Wed
02/02/2017,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=february.2017#detail=69719,,,,Thu
02/02/2017,00:30,AUD,orange,Building Approvals m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=68024,-1.2%,-1.7%,7.5%,Thu
02/02/2017,,AUD,orange,Goods Trade Balance,https://www.forexfactory.com/calendar?month=february.2017#detail=68199,3.51B,2.00B,2.04B,Thu
02/02/2017,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=february.2017#detail=69394,0.09|3.6,,0.06|3.6,Thu
02/02/2017,05:00,JPY,yellow,Consumer Confidence,https://www.forexfactory.com/calendar?month=february.2017#detail=69118,43.2,43.7,43.1,Thu
