date,time,currency,impact,actual,forecast,previous,day,event,detail
01/02/2018,00:30,AUD,orange,-20.0%,-7.9%,12.6%,Thu,,
01/02/2018,,AUD,yellow,2.0%,1.5%,-1.6%,Thu,,
01/02/2018,,JPY,yellow,54.8,54.4,54.4,Thu,,
01/02/2018,01:45,CNY,orange,51.5,51.5,51.5,Thu,,
01/02/2018,03:45,JPY,yellow,0.09|4.6,,0.08|3.7,Thu,,
01/02/2018,05:30,AUD,yellow,-0.6%,,-6.0%,Thu,,
01/02/2018,06:45,CHF,yellow,5,2,-2,Thu,,
01/02/2018,06:55,GBP,yellow,0.6%,0.2%,0.6%,Thu,,
01/02/2018,08:15,CHF,yellow,0.6%,1.5%,0.3%,Thu,,
01/02/2018,,EUR,yellow,55.2,55.7,55.8,Thu,,
01/02/2018,08:30,CHF,yellow,65.3,64.1,65.2,Thu,,
01/02/2018,08:45,EUR,yellow,59.0,57.7,57.4,Thu,,
01/02/2018,08:50,EUR,yellow,58.4,58.1,58.1,Thu,,
01/02/2018,08:55,EUR,yellow,61.1,61.2,61.2,Thu,,
01/02/2018,09:00,EUR,yellow,59.6,59.6,59.6,Thu,,
01/02/2018,09:30,GBP,red,55.3,56.5,56.2,Thu,,
01/02/2018,10:00,EUR,yellow,0.98|2.0,,0.79|1.4,Thu,,
01/02/2018,12:30,USD,yellow,-2.8%,,-3.6%,Thu,,
01/02/2018,13:30,USD,orange,-0.1%,0.8%,2.7%,Thu,,
01/02/2018,,USD,orange,2.0%,0.9%,-0.2%,Thu,,
01/02/2018,,USD,orange,230K,237K,231K,Thu,,
01/02/2018,14:30,CAD,yellow,55.9,,54.7,Thu,,
01/02/2018,14:45,USD,yellow,55.5,55.5,55.5,Thu,,
01/02/2018,15:00,USD,red,59.1,58.7,59.7,Thu,,
01/02/2018,,USD,yellow,0.7%,0.4%,0.6%,Thu,,
01/02/2018,,USD,yellow,72.7,68.3,69.0,Thu,,
01/02/2018,All Day,USD,yellow,17.1M,17.2M,17.8M,Thu,,
01/02/2018,15:30,USD,yellow,-99B,-102B,-288B,Thu,,
01/02/2018,All Day,USD,yellow,17.2M,17.2M,17.9M,Thu,,
01/02/2018,21:45,NZD,yellow,-9.6%,,9.6%,Thu,,
01/02/2018,,NZD,yellow,-2.8%,,2.5%,Thu,,
01/02/2018,23:50,JPY,yellow,9.7%,11.0%,11.2%,Thu,,
02/02/2018,00:30,AUD,yellow,0.6%,0.4%,0.2%,Fri,,
02/02/2018,08:00,EUR,orange,63.7K,50.3K,-61.5K,Fri,,
02/02/2018,09:30,GBP,red,50.2,52.0,52.2,Fri,,
02/02/2018,10:00,EUR,yellow,0.2%,0.3%,0.6%,Fri,,
02/02/2018,,EUR,yellow,0.2%,0.3%,0.4%,Fri,,
02/02/2018,13:30,USD,red,0.3%,0.2%,0.4%,Fri,,
02/02/2018,,USD,red,200K,181K,160K,Fri,,
02/02/2018,,USD,red,4.1%,4.1%,4.1%,Fri,,
02/02/2018,15:00,USD,orange,95.7,95.0,94.4,Fri,,
02/02/2018,,USD,yellow,1.7%,1.5%,1.7%,Fri,,
02/02/2018,,USD,yellow,2.7%,,2.8%,Fri,,
02/02/2018,19:30,USD,orange,,,,Fri,,
04/02/2018,22:30,AUD,yellow,54.9,,52.0,Sun,,
05/02/2018,00:00,AUD,yellow,0.3%,,0.1%,Mon,,
05/02/2018,,NZD,yellow,0.7%,,-1.9%,Mon,,
05/02/2018,00:30,AUD,yellow,6.2%,,-2.7%,Mon,,
05/02/2018,01:45,CNY,orange,54.7,53.6,53.9,Mon,,
05/02/2018,08:15,EUR,yellow,56.9,55.2,54.6,Mon,,
05/02/2018,08:45,EUR,yellow,57.7,56.1,55.4,Mon,,
05/02/2018,08:50,EUR,yellow,59.2,59.3,59.3,Mon,,
05/02/2018,08:55,EUR,yellow,57.3,57.0,57.0,Mon,,
05/02/2018,09:00,EUR,yellow,58.0,57.6,57.6,Mon,,
05/02/2018,09:30,EUR,yellow,31.9,33.2,32.9,Mon,,
05/02/2018,,GBP,red,53.0,54.1,54.2,Mon,,
05/02/2018,10:00,EUR,yellow,-1.1%,-1.1%,2.0%,Mon,,
05/02/2018,14:45,USD,yellow,53.3,53.3,53.3,Mon,,
05/02/2018,15:00,USD,red,59.9,56.5,55.9,Mon,,
05/02/2018,16:00,EUR,red,,,,Mon,,
05/02/2018,19:00,USD,yellow,,,,Mon,,
05/02/2018,All Day,NZD,gray,,,,Mon,,
06/02/2018,00:01,GBP,yellow,0.6%,,0.6%,Tue,,
06/02/2018,00:30,AUD,red,-1.36B,0.25B,0.04B,Tue,,
06/02/2018,,AUD,red,-0.5%,-0.2%,1.3%,Tue,,
06/02/2018,03:30,AUD,red,,,,Tue,,
06/02/2018,,AUD,orange,1.50%,1.50%,1.50%,Tue,,
06/02/2018,07:00,EUR,yellow,3.8%,0.6%,-0.1%,Tue,,
06/02/2018,07:45,EUR,yellow,-67.8B,,-84.7B,Tue,,
06/02/2018,09:00,EUR,orange,,,,Tue,,
06/02/2018,09:10,EUR,yellow,50.8,,53.0,Tue,,
06/02/2018,13:30,CAD,red,-3.2B,-2.3B,-2.7B,Tue,,
06/02/2018,,USD,yellow,-53.1B,-52.1B,-50.4B,Tue,,
06/02/2018,14:36,NZD,orange,5.9%,,4.9%,Tue,,
06/02/2018,15:00,CAD,orange,55.2,60.7,60.4,Tue,,
06/02/2018,,USD,yellow,5.81M,5.95M,5.98M,Tue,,
06/02/2018,15:01,USD,yellow,56.7,55.4,55.1,Tue,,
06/02/2018,21:30,USD,yellow,,,,Tue,,
06/02/2018,21:45,NZD,red,0.5%,0.4%,2.2%,Tue,,
06/02/2018,,NZD,red,4.5%,4.7%,4.6%,Tue,,
06/02/2018,,NZD,yellow,0.4%,0.5%,0.7%,Tue,,
06/02/2018,22:30,AUD,yellow,54.3,,52.8,Tue,,
07/02/2018,00:00,JPY,yellow,0.7%,0.6%,0.9%,Wed,,
07/02/2018,05:00,JPY,yellow,107.9%,108.1%,108.3%,Wed,,
07/02/2018,07:00,EUR,yellow,-0.6%,-0.7%,3.1%,Wed,,
07/02/2018,07:45,EUR,yellow,-3.5B,-4.8B,-5.6B,Wed,,
07/02/2018,08:00,CHF,yellow,731B,,744B,Wed,,
07/02/2018,08:30,GBP,orange,-0.6%,0.2%,-0.8%,Wed,,
07/02/2018,09:03,EUR,yellow,-0.3%,-0.1%,0.9%,Wed,,
07/02/2018,10:33,EUR,yellow,0.69|1.5,,0.54|1.1,Wed,,
07/02/2018,11:30,EUR,orange,,,,Wed,,
07/02/2018,13:30,CAD,orange,4.8%,2.1%,-7.3%,Wed,,
07/02/2018,,USD,orange,,,,Wed,,
07/02/2018,15:30,USD,red,1.9M,3.2M,6.8M,Wed,,
07/02/2018,18:01,USD,yellow,2.81|2.3,,2.58|2.7,Wed,,
07/02/2018,20:00,NZD,red,,,,Wed,,
07/02/2018,,NZD,red,,,,Wed,,
07/02/2018,,NZD,orange,1.75%,1.75%,1.75%,Wed,,
07/02/2018,,USD,yellow,18.4B,19.9B,31.0B,Wed,,
07/02/2018,21:00,NZD,red,,,,Wed,,
07/02/2018,22:20,USD,orange,,,,Wed,,
07/02/2018,23:50,JPY,yellow,2.4%,2.4%,2.5%,Wed,,
07/02/2018,,JPY,yellow,1.48T,1.66T,1.70T,Wed,,
08/02/2018,00:00,NZD,red,,,,Thu,,
08/02/2018,00:01,GBP,yellow,8%,5%,8%,Thu,,
08/02/2018,00:30,AUD,orange,6,,8,Thu,,
08/02/2018,03:07,CNY,orange,136B,328B,362B,Thu,,
08/02/2018,03:42,CNY,yellow,20.3B,54.0B,54.7B,Thu,,
08/02/2018,03:45,JPY,yellow,0.82|4.3,,0.83|3.8,Thu,,
08/02/2018,05:00,JPY,yellow,49.9,53.7,53.9,Thu,,
08/02/2018,07:00,EUR,yellow,21.4B,21.5B,22.3B,Thu,,
08/02/2018,08:45,EUR,orange,,,,Thu,,
08/02/2018,09:00,AUD,red,,,,Thu,,
08/02/2018,,EUR,yellow,,,,Thu,,
08/02/2018,12:00,GBP,red,,,,Thu,,
08/02/2018,,GBP,red,,,,Thu,,
08/02/2018,,GBP,red,0-0-9,0-0-9,0-0-9,Thu,,
08/02/2018,,GBP,red,0.50%,0.50%,0.50%,Thu,,
08/02/2018,,GBP,orange,,,,Thu,,
08/02/2018,,GBP,orange,0-0-9,0-0-9,0-0-9,Thu,,
08/02/2018,,GBP,yellow,435B,435B,435B,Thu,,
08/02/2018,13:13,CAD,yellow,216K,211K,218K,Thu,,
08/02/2018,13:30,CAD,orange,0.0%,0.1%,0.1%,Thu,,
08/02/2018,,USD,orange,221K,232K,230K,Thu,,
08/02/2018,15:00,USD,orange,5.17%,,4.88%,Thu,,
08/02/2018,15:30,USD,yellow,-119B,-116B,-99B,Thu,,
08/02/2018,18:00,CAD,orange,,,,Thu,,
08/02/2018,18:01,USD,yellow,3.12|2.3,,2.87|2.7,Thu,,
08/02/2018,23:50,JPY,yellow,3.4%,3.6%,3.6%,Thu,,
09/02/2018,00:30,AUD,red,,,,Fri,,
09/02/2018,,AUD,yellow,-2.3%,-1.1%,1.6%,Fri,,
09/02/2018,01:30,CNY,orange,1.5%,1.5%,1.8%,Fri,,
09/02/2018,,CNY,orange,4.3%,4.4%,4.9%,Fri,,
09/02/2018,04:30,JPY,yellow,-0.2%,0.2%,1.1%,Fri,,
09/02/2018,06:45,CHF,yellow,3.0%,3.0%,3.0%,Fri,,
09/02/2018,07:45,EUR,yellow,0.5%,0.1%,-0.3%,Fri,,
09/02/2018,09:00,EUR,yellow,1.6%,0.7%,0.2%,Fri,,
09/02/2018,09:30,GBP,red,0.3%,0.3%,0.2%,Fri,,
09/02/2018,,GBP,orange,-13.6B,-11.6B,-12.5B,Fri,,
09/02/2018,,GBP,yellow,1.6%,0.0%,0.1%,Fri,,
09/02/2018,,GBP,yellow,-1.3%,-0.9%,0.3%,Fri,,
09/02/2018,12:03,GBP,yellow,0.5%,,0.6%,Fri,,
09/02/2018,13:30,CAD,red,-88.0K,10.3K,78.6K,Fri,,
09/02/2018,,CAD,red,5.9%,5.8%,5.7%,Fri,,
09/02/2018,15:00,USD,yellow,0.4%,0.2%,0.2%,Fri,,
09/02/2018,16:45,GBP,orange,,,,Fri,,
12/02/2018,All Day,JPY,gray,,,,Mon,,
12/02/2018,08:15,CHF,yellow,-0.1%,-0.1%,0.0%,Mon,,
12/02/2018,09:01,CNY,yellow,8.6%,8.2%,8.2%,Mon,,
12/02/2018,,CNY,yellow,2900B,2050B,584B,Mon,,
12/02/2018,09:50,GBP,orange,,,,Mon,,
12/02/2018,16:30,GBP,orange,,,,Mon,,
12/02/2018,19:00,USD,yellow,49.2B,50.2B,-23.2B,Mon,,
12/02/2018,21:50,AUD,orange,,,,Mon,,
12/02/2018,23:50,JPY,yellow,2.7%,2.7%,3.0%,Mon,,
13/02/2018,00:30,AUD,orange,12,,10,Tue,,
13/02/2018,05:58,JPY,yellow,48.8%,,48.3%,Tue,,
13/02/2018,07:45,EUR,yellow,0.3%,0.2%,0.3%,Tue,,
13/02/2018,08:15,CHF,orange,0.3%,0.2%,0.2%,Tue,,
13/02/2018,09:30,GBP,red,3.0%,2.9%,3.0%,Tue,,
13/02/2018,,GBP,orange,0.7%,0.7%,0.6%,Tue,,
13/02/2018,,GBP,orange,4.0%,4.1%,4.1%,Tue,,
13/02/2018,,GBP,yellow,2.7%,2.6%,2.5%,Tue,,
13/02/2018,,GBP,yellow,5.2%,4.9%,5.0%,Tue,,
13/02/2018,,GBP,yellow,0.1%,0.2%,0.4%,Tue,,
13/02/2018,11:00,USD,yellow,106.9,106.2,104.9,Tue,,
13/02/2018,13:00,USD,orange,,,,Tue,,
13/02/2018,21:30,USD,yellow,,,,Tue,,
13/02/2018,21:45,NZD,yellow,1.2%,,-0.8%,Tue,,
13/02/2018,23:30,AUD,yellow,-2.3%,,1.8%,Tue,,
13/02/2018,23:50,JPY,yellow,0.0%,0.0%,0.2%,Tue,,
13/02/2018,,JPY,yellow,0.1%,0.2%,0.6%,Tue,,
14/02/2018,02:00,NZD,red,2.11%,,2.02%,Wed,,
14/02/2018,03:28,CNY,yellow,0.3%,,7.9%,Wed,,
14/02/2018,07:00,EUR,orange,0.6%,0.6%,0.8%,Wed,,
14/02/2018,,EUR,yellow,-0.7%,-0.7%,-0.7%,Wed,,
14/02/2018,08:00,EUR,orange,,,,Wed,,
14/02/2018,08:50,CHF,orange,,,,Wed,,
14/02/2018,09:00,EUR,yellow,0.3%,0.4%,0.4%,Wed,,
14/02/2018,10:00,EUR,orange,0.6%,0.6%,0.6%,Wed,,
14/02/2018,,EUR,yellow,0.4%,0.1%,1.3%,Wed,,
14/02/2018,10:33,EUR,yellow,1.33|1.5,,1.28|1.4,Wed,,
14/02/2018,11:20,CHF,orange,,,,Wed,,
14/02/2018,13:30,USD,red,0.3%,0.2%,0.3%,Wed,,
14/02/2018,,USD,red,0.0%,0.5%,0.1%,Wed,,
14/02/2018,,USD,red,0.5%,0.3%,0.1%,Wed,,
14/02/2018,,USD,red,2.1%,1.9%,2.1%,Wed,,
14/02/2018,,USD,red,-0.3%,0.2%,0.0%,Wed,,
14/02/2018,14:30,GBP,yellow,-0.2%,,-0.2%,Wed,,
14/02/2018,15:00,USD,yellow,0.4%,0.3%,0.4%,Wed,,
14/02/2018,15:30,USD,red,1.8M,2.8M,1.9M,Wed,,
14/02/2018,23:50,JPY,yellow,-11.9%,-1.9%,5.7%,Wed,,
15/02/2018,00:00,AUD,yellow,3.6%,,3.7%,Thu,,
15/02/2018,All Day,CNY,gray,,,,Thu,,
15/02/2018,00:30,AUD,red,16.0K,15.3K,33.5K,Thu,,
15/02/2018,,AUD,red,5.5%,5.5%,5.6%,Thu,,
15/02/2018,04:30,JPY,yellow,2.9%,2.7%,2.7%,Thu,,
15/02/2018,09:00,EUR,yellow,5.25B,4.44B,4.84B,Thu,,
15/02/2018,09:55,EUR,yellow,1.58|2.5,,1.53|1.8,Thu,,
15/02/2018,10:00,EUR,yellow,23.8B,22.4B,22.0B,Thu,,
15/02/2018,13:30,CAD,orange,10.7K,,-13.5K,Thu,,
15/02/2018,,USD,red,0.4%,0.4%,-0.1%,Thu,,
15/02/2018,,USD,orange,0.4%,0.2%,-0.1%,Thu,,
15/02/2018,,USD,orange,13.1,17.7,17.7,Thu,,
15/02/2018,,USD,orange,25.8,21.5,22.2,Thu,,
15/02/2018,,USD,orange,230K,229K,223K,Thu,,
15/02/2018,14:15,USD,orange,77.5%,78.0%,77.7%,Thu,,
15/02/2018,,USD,orange,-0.1%,0.2%,0.4%,Thu,,
15/02/2018,15:00,USD,yellow,72,72,72,Thu,,
15/02/2018,15:30,USD,yellow,-194B,-193B,-119B,Thu,,
15/02/2018,18:30,CAD,orange,,,,Thu,,
15/02/2018,21:00,USD,yellow,27.3B,50.3B,57.5B,Thu,,
15/02/2018,21:30,NZD,red,55.6,,51.1,Thu,,
15/02/2018,22:30,AUD,red,,,,Thu,,
16/02/2018,All Day,CNY,gray,,,,Fri,,
16/02/2018,07:00,EUR,yellow,0.9%,0.2%,-0.3%,Fri,,
16/02/2018,09:30,GBP,red,0.1%,0.5%,-1.4%,Fri,,
16/02/2018,13:30,CAD,orange,-1.97B,19.18B,19.20B,Fri,,
16/02/2018,,CAD,orange,-0.3%,0.2%,3.8%,Fri,,
16/02/2018,,USD,red,1.40M,1.29M,1.30M,Fri,,
16/02/2018,,USD,orange,1.33M,1.23M,1.21M,Fri,,
16/02/2018,,USD,orange,1.0%,0.6%,0.2%,Fri,,
16/02/2018,15:00,USD,orange,99.9,95.4,95.7,Fri,,
16/02/2018,,USD,yellow,2.7%,,2.7%,Fri,,
18/02/2018,21:30,NZD,yellow,55.8,,56.0,Sun,,
18/02/2018,23:50,JPY,yellow,0.37T,0.14T,0.09T,Sun,,
19/02/2018,00:01,GBP,yellow,0.8%,,0.7%,Mon,,
19/02/2018,All Day,CNY,gray,,,,Mon,,
19/02/2018,09:00,EUR,yellow,29.9B,30.5B,35.0B,Mon,,
19/02/2018,All Day,EUR,yellow,,,,Mon,,
19/02/2018,11:00,EUR,yellow,,,,Mon,,
19/02/2018,All Day,CAD,gray,,,,Mon,,
19/02/2018,All Day,USD,gray,,,,Mon,,
19/02/2018,19:45,GBP,red,,,,Mon,,
