date,time,currency,impact,event,detail,actual,forecast,previous,day
01/01/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=23292,,,,Thu
01/01/2009,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=12067,,,,Thu
01/01/2009,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=12041,,,,Thu
01/01/2009,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=14755,,,,Thu
01/01/2009,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=14778,,,,Thu
01/01/2009,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=14790,,,,Thu
01/01/2009,All Day,GBP,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=12269,,,,Thu
01/01/2009,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=14743,,,,Thu
01/01/2009,All Day,USD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=12010,,,,Thu
01/01/2009,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=12089,,,,Thu
01/01/2009,22:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=january.2009#detail=10828,33.7,,32.7,Thu
02/01/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=23293,,,,Fri
02/01/2009,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=12068,,,,Fri
02/01/2009,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2009#detail=18314,41.2,,40.9,Fri
02/01/2009,05:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=january.2009#detail=14054,34.3%,,37.1%,Fri
02/01/2009,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2009#detail=48239,,,,Fri
02/01/2009,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2009#detail=43813,28.5,,29.4,Fri
02/01/2009,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2009#detail=43467,35.5,33.9,34.9,Fri
02/01/2009,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2009#detail=58847,34.9,35.8,35.9,Fri
02/01/2009,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2009#detail=58966,32.7,33.4,33.5,Fri
