date,time,currency,impact,actual,forecast,previous,day,timezone,event,detail
01/01/2014,All Day,JPY,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,CNY,gray,,,,Wed,Africa/Lagos,,
01/01/2014,01:00,CNY,red,51.0,51.3,51.4,Wed,Africa/Lagos,,
01/01/2014,All Day,CHF,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,EUR,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,EUR,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,EUR,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,GBP,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,CAD,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,USD,gray,,,,Wed,Africa/Lagos,,
01/01/2014,All Day,NZD,gray,,,,Wed,Africa/Lagos,,
01/01/2014,22:10,AUD,yellow,47.6,,47.7,Wed,Africa/Lagos,,
02/01/2014,All Day,JPY,gray,,,,Thu,Africa/Lagos,,
02/01/2014,All Day,CNY,gray,,,,Thu,Africa/Lagos,,
02/01/2014,01:45,CNY,orange,50.5,50.5,50.5,Thu,Africa/Lagos,,
02/01/2014,05:30,AUD,yellow,-4.0%,,-2.8%,Thu,Africa/Lagos,,
02/01/2014,All Day,CHF,gray,,,,Thu,Africa/Lagos,,
02/01/2014,08:15,EUR,orange,50.8,49.9,48.6,Thu,Africa/Lagos,,
02/01/2014,08:45,EUR,orange,53.3,51.8,51.4,Thu,Africa/Lagos,,
02/01/2014,08:50,EUR,yellow,47.0,47.1,47.1,Thu,Africa/Lagos,,
02/01/2014,08:55,EUR,yellow,54.3,54.2,54.2,Thu,Africa/Lagos,,
02/01/2014,09:00,EUR,yellow,52.7,52.7,52.7,Thu,Africa/Lagos,,
02/01/2014,09:30,GBP,red,57.3,58.3,58.1,Thu,Africa/Lagos,,
02/01/2014,13:30,USD,red,339K,334K,341K,Thu,Africa/Lagos,,
02/01/2014,14:00,USD,yellow,55.0,54.4,54.4,Thu,Africa/Lagos,,
02/01/2014,14:30,CAD,yellow,53.5,,55.3,Thu,Africa/Lagos,,
02/01/2014,15:00,USD,red,57.0,56.8,57.3,Thu,Africa/Lagos,,
02/01/2014,15:00,USD,yellow,1.0%,0.7%,0.9%,Thu,Africa/Lagos,,
02/01/2014,15:00,USD,yellow,53.5,53.0,52.5,Thu,Africa/Lagos,,
03/01/2014,All Day,JPY,gray,,,,Fri,Africa/Lagos,,
03/01/2014,01:00,CNY,orange,54.6,,56.0,Fri,Africa/Lagos,,
03/01/2014,07:00,GBP,orange,1.4%,0.8%,0.7%,Fri,Africa/Lagos,,
03/01/2014,08:00,CHF,orange,1.95,1.92,1.85,Fri,Africa/Lagos,,
03/01/2014,08:00,EUR,orange,0.2%,0.2%,0.2%,Fri,Africa/Lagos,,
03/01/2014,08:00,EUR,orange,-107.6K,24.3K,-2.5K,Fri,Africa/Lagos,,
03/01/2014,08:30,CHF,orange,53.9,56.4,56.5,Fri,Africa/Lagos,,
03/01/2014,09:00,EUR,orange,1.5%,1.5%,1.4%,Fri,Africa/Lagos,,
03/01/2014,09:00,EUR,yellow,-2.3%,-1.9%,-2.2%,Fri,Africa/Lagos,,
03/01/2014,09:30,GBP,red,62.1,62.3,62.6,Fri,Africa/Lagos,,
