date,time,currency,impact,actual,forecast,previous,day,event,detail
01/01/2016,All Day,CNY,gray,,,,Fri,,
01/01/2016,All Day,JPY,gray,,,,Fri,,
01/01/2016,01:00,CNY,red,49.7,49.9,49.6,Fri,,
01/01/2016,,CNY,orange,54.4,,53.6,Fri,,
01/01/2016,All Day,CHF,gray,,,,Fri,,
01/01/2016,All Day,EUR,gray,,,,Fri,,
01/01/2016,All Day,EUR,gray,,,,Fri,,
01/01/2016,All Day,EUR,gray,,,,Fri,,
01/01/2016,All Day,GBP,gray,,,,Fri,,
01/01/2016,All Day,CAD,gray,,,,Fri,,
01/01/2016,All Day,USD,gray,,,,Fri,,
03/01/2016,18:15,USD,orange,,,,Sun,,
03/01/2016,All Day,NZD,gray,,,,Sun,,
03/01/2016,22:30,AUD,yellow,51.9,,52.5,Sun,,
03/01/2016,,USD,orange,,,,Sun,,
04/01/2016,01:35,JPY,yellow,52.6,52.5,52.5,Mon,,
04/01/2016,01:45,CNY,red,48.2,48.9,48.6,Mon,,
04/01/2016,05:30,AUD,yellow,-23.3%,,-21.8%,Mon,,
04/01/2016,All Day,EUR,orange,-0.1%,0.2%,0.1%,Mon,,
04/01/2016,08:15,EUR,orange,53.0,53.1,53.1,Mon,,
04/01/2016,08:30,CHF,yellow,52.1,50.2,49.7,Mon,,
04/01/2016,08:45,EUR,yellow,55.6,54.9,54.9,Mon,,
04/01/2016,08:50,EUR,yellow,51.4,51.6,51.6,Mon,,
04/01/2016,08:55,EUR,yellow,53.2,53.0,53.0,Mon,,
04/01/2016,09:00,EUR,yellow,53.2,53.1,53.1,Mon,,
04/01/2016,09:30,GBP,red,51.9,52.8,52.5,Mon,,
04/01/2016,,GBP,orange,5.3B,4.9B,4.8B,Mon,,
04/01/2016,,GBP,yellow,0.4%,0.5%,0.6%,Mon,,
04/01/2016,,GBP,yellow,70K,70K,70K,Mon,,
04/01/2016,14:30,CAD,yellow,47.5,,48.6,Mon,,
04/01/2016,14:45,USD,yellow,51.2,51.1,51.3,Mon,,
04/01/2016,15:00,USD,red,48.2,49.1,48.6,Mon,,
04/01/2016,,USD,yellow,-0.4%,0.7%,0.3%,Mon,,
04/01/2016,,USD,yellow,33.5,36.5,35.5,Mon,,
04/01/2016,23:50,JPY,yellow,29.5%,33.2%,32.5%,Mon,,
05/01/2016,03:45,JPY,yellow,0.25|3.3,,0.32|3.6,Tue,,
05/01/2016,08:00,EUR,orange,-55.8K,-52.6K,-27.1K,Tue,,
05/01/2016,08:55,EUR,orange,-14K,-7K,-14K,Tue,,
05/01/2016,09:30,GBP,red,57.8,56.1,55.3,Tue,,
05/01/2016,10:00,EUR,orange,0.9%,1.0%,0.9%,Tue,,
05/01/2016,,EUR,orange,0.2%,0.4%,0.2%,Tue,,
05/01/2016,,EUR,yellow,0.0%,0.1%,-0.4%,Tue,,
05/01/2016,10:33,GBP,yellow,1.88|1.6,,1.94|1.5,Tue,,
05/01/2016,13:30,CAD,orange,-4.0%,-2.3%,0.0%,Tue,,
05/01/2016,,CAD,yellow,-0.2%,0.1%,-0.5%,Tue,,
05/01/2016,14:07,NZD,red,-1.6%,,1.9%,Tue,,
05/01/2016,All Day,USD,yellow,17.2M,18.0M,18.0M,Tue,,
05/01/2016,All Day,USD,yellow,17.3M,18.1M,18.2M,Tue,,
05/01/2016,21:30,USD,yellow,,,,Tue,,
05/01/2016,22:30,AUD,yellow,46.3,,48.2,Tue,,
06/01/2016,00:01,GBP,yellow,-2.0%,,-2.1%,Wed,,
06/01/2016,01:45,CNY,orange,50.2,52.3,51.2,Wed,,
06/01/2016,All Day,EUR,gray,,,,Wed,,
06/01/2016,08:15,EUR,yellow,55.1,56.9,56.7,Wed,,
06/01/2016,08:45,EUR,yellow,55.3,53.8,53.4,Wed,,
06/01/2016,08:50,EUR,yellow,49.8,50.0,50.0,Wed,,
06/01/2016,08:55,EUR,yellow,56.0,55.4,55.4,Wed,,
06/01/2016,09:00,EUR,yellow,54.2,53.9,53.9,Wed,,
06/01/2016,09:30,GBP,red,55.5,55.6,55.9,Wed,,
06/01/2016,10:00,EUR,yellow,-0.2%,-0.2%,-0.3%,Wed,,
06/01/2016,13:15,USD,red,257K,193K,211K,Wed,,
06/01/2016,13:30,CAD,red,-2.0B,-2.6B,-2.5B,Wed,,
06/01/2016,,USD,red,-42.4B,-44.0B,-44.6B,Wed,,
06/01/2016,14:45,USD,yellow,54.3,55.1,53.7,Wed,,
06/01/2016,15:00,USD,red,55.3,56.0,55.9,Wed,,
06/01/2016,,USD,orange,-0.2%,-0.2%,1.3%,Wed,,
06/01/2016,15:30,USD,orange,-5.1M,0.7M,2.6M,Wed,,
06/01/2016,19:00,USD,red,,,,Wed,,
07/01/2016,00:30,AUD,red,-12.7%,-2.8%,3.3%,Thu,,
07/01/2016,,AUD,red,-2.91B,-2.98B,-3.25B,Thu,,
07/01/2016,03:45,JPY,yellow,1.22|3.7,,1.40|3.9,Thu,,
07/01/2016,07:00,EUR,orange,1.5%,0.1%,1.7%,Thu,,
07/01/2016,,EUR,orange,0.2%,0.5%,-0.1%,Thu,,
07/01/2016,08:00,CHF,orange,560B,,563B,Thu,,
07/01/2016,,GBP,orange,1.7%,0.5%,0.0%,Thu,,
07/01/2016,09:00,EUR,yellow,11.3%,11.5%,11.5%,Thu,,
07/01/2016,09:10,EUR,yellow,49.0,,48.5,Thu,,
07/01/2016,09:59,EUR,yellow,0.86|1.4,,0.50|2.3,Thu,,
07/01/2016,10:00,EUR,orange,10.5%,10.7%,10.6%,Thu,,
07/01/2016,,EUR,yellow,-0.3%,0.2%,-0.2%,Thu,,
07/01/2016,12:30,USD,yellow,-27.6%,,-13.9%,Thu,,
07/01/2016,13:25,CAD,red,,,,Thu,,
07/01/2016,13:30,USD,red,277K,271K,287K,Thu,,
07/01/2016,15:00,CAD,orange,49.9,56.7,63.6,Thu,,
07/01/2016,15:30,USD,yellow,-113B,-95B,-58B,Thu,,
07/01/2016,22:30,AUD,yellow,46.8,,50.7,Thu,,
08/01/2016,00:00,JPY,yellow,,,,Fri,,
08/01/2016,00:30,AUD,red,0.4%,0.4%,0.6%,Fri,,
08/01/2016,01:30,JPY,yellow,0.0%,0.7%,0.7%,Fri,,
08/01/2016,05:00,JPY,yellow,103.9%,103.9%,104.2%,Fri,,
08/01/2016,06:45,CHF,yellow,3.4%,3.4%,3.4%,Fri,,
08/01/2016,07:00,EUR,yellow,-0.3%,0.4%,0.5%,Fri,,
08/01/2016,,EUR,yellow,19.7B,20.1B,20.5B,Fri,,
08/01/2016,07:45,EUR,yellow,-0.9%,-0.2%,0.7%,Fri,,
08/01/2016,,EUR,yellow,-4.6B,-4.0B,-4.9B,Fri,,
08/01/2016,08:15,CHF,yellow,-0.4%,-0.2%,-0.1%,Fri,,
08/01/2016,09:30,GBP,orange,-10.6B,-10.5B,-11.2B,Fri,,
08/01/2016,13:30,CAD,red,22.8K,10.4K,-35.7K,Fri,,
08/01/2016,,CAD,red,7.1%,7.1%,7.1%,Fri,,
08/01/2016,,CAD,orange,-19.6%,-3.2%,9.9%,Fri,,
08/01/2016,,USD,red,0.0%,0.2%,0.2%,Fri,,
08/01/2016,,USD,red,292K,203K,252K,Fri,,
08/01/2016,,USD,red,5.0%,5.0%,5.0%,Fri,,
08/01/2016,15:00,USD,yellow,-0.3%,0.0%,-0.3%,Fri,,
08/01/2016,20:00,USD,yellow,14.0B,18.7B,15.6B,Fri,,
09/01/2016,01:30,CNY,red,1.6%,1.7%,1.5%,Sat,,
