date,time,currency,impact,event,detail,actual,forecast,previous,day
01/07/2013,00:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2013#detail=44273,49.6,,43.8,Mon
01/07/2013,,USD,orange,Treasury Sec Lew Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49365,,,,Mon
01/07/2013,00:50,JPY,orange,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2013#detail=45012,4,3,-8,Mon
01/07/2013,,JPY,orange,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2013#detail=45013,12,12,6,Mon
01/07/2013,01:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44459,0.0%,,0.2%,Mon
01/07/2013,02:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=44761,50.1,50.1,50.8,Mon
01/07/2013,02:45,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=44760,48.2,48.3,48.3,Mon
01/07/2013,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44471,-10.5%,,-8.2%,Mon
01/07/2013,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=47225,50.0,48.9,48.1,Mon
01/07/2013,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=45352,51.9,52.5,52.2,Mon
01/07/2013,08:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=47221,49.1,47.8,47.3,Mon
01/07/2013,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=59026,48.4,48.3,48.3,Mon
01/07/2013,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=59028,48.6,48.7,48.7,Mon
01/07/2013,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=47217,48.8,48.7,48.7,Mon
01/07/2013,,EUR,yellow,Italian Monthly Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=47431,12.2%,12.1%,12.0%,Mon
01/07/2013,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=45814,52.5,51.3,51.5,Mon
01/07/2013,,GBP,orange,Net Lending to Individuals m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46199,1.0B,1.4B,1.3B,Mon
01/07/2013,,GBP,yellow,FPC Meeting Minutes,https://www.forexfactory.com/calendar?month=july.2013#detail=57083,,,,Mon
01/07/2013,,GBP,yellow,M4 Money Supply m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46006,-0.1%,0.0%,0.3%,Mon
01/07/2013,,GBP,yellow,Mortgage Approvals,https://www.forexfactory.com/calendar?month=july.2013#detail=45908,58K,56K,54K,Mon
01/07/2013,10:00,EUR,orange,CPI Flash Estimate y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=46836,1.6%,1.6%,1.4%,Mon
01/07/2013,,EUR,orange,Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=46884,12.1%,12.3%,12.0%,Mon
01/07/2013,,EUR,yellow,Core CPI Flash Estimate y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=54108,1.2%,,1.2%,Mon
01/07/2013,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=july.2013#detail=48149,,,,Mon
01/07/2013,14:00,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=46764,51.9,52.4,52.2,Mon
01/07/2013,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=46728,50.9,50.6,49.0,Mon
01/07/2013,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46260,0.5%,0.6%,0.1%,Mon
01/07/2013,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=july.2013#detail=46740,52.5,50.5,49.5,Mon
02/07/2013,00:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44988,36.0%,41.2%,31.6%,Tue
02/07/2013,02:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44645,-3.7%,,-1.6%,Tue
02/07/2013,02:30,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=45122,0.0%,0.6%,0.0%,Tue
02/07/2013,04:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2013#detail=49052,0.88|2.4,,0.86|3.1,Tue
02/07/2013,05:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=44232,2.75%,2.75%,2.75%,Tue
02/07/2013,,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=july.2013#detail=44233,,,,Tue
02/07/2013,08:00,EUR,orange,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=july.2013#detail=47432,-127.2K,-83.5K,-98.3K,Tue
02/07/2013,09:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=45815,51.0,51.3,50.8,Tue
02/07/2013,10:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46872,-0.3%,-0.2%,-0.6%,Tue
02/07/2013,,GBP,orange,MPC Member Tucker Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49372,,,,Tue
02/07/2013,10:38,GBP,orange,10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2013#detail=47662,2.58|1.8,,2.37|1.5,Tue
02/07/2013,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=59533,52.4,,53.2,Tue
02/07/2013,15:00,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46390,2.1%,2.0%,1.3%,Tue
02/07/2013,,USD,yellow,RCM/TIPP Economic Optimism,https://www.forexfactory.com/calendar?month=july.2013#detail=48073,47.1,49.3,49.0,Tue
02/07/2013,15:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=july.2013#detail=56302,0.7%,,2.4%,Tue
02/07/2013,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=july.2013#detail=46462,16.0M,15.3M,15.3M,Tue
02/07/2013,17:30,USD,orange,FOMC Member Dudley Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49368,,,,Tue
02/07/2013,22:45,USD,orange,FOMC Member Powell Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49369,,,,Tue
