date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/07/2020,00:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=july.2020#detail=112366,-1.6%,,-2.4%,Wed,Africa/Lagos
01/07/2020,00:50,JPY,yellow,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2020#detail=114817,-34,-31,-8,Wed,Africa/Lagos
01/07/2020,,JPY,yellow,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2020#detail=114818,-17,-20,8,Wed,Africa/Lagos
01/07/2020,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=114804,40.1,37.8,37.8,Wed,Africa/Lagos
01/07/2020,02:30,AUD,yellow,Building Approvals m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=114693,-16.4%,-7.0%,-2.1%,Wed,Africa/Lagos
01/07/2020,02:45,CNY,yellow,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=115600,51.2,50.7,50.7,Wed,Africa/Lagos
01/07/2020,06:00,JPY,yellow,Consumer Confidence,https://www.forexfactory.com/calendar?month=july.2020#detail=114896,28.4,28.9,24.0,Wed,Africa/Lagos
01/07/2020,06:55,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=112487,-1.4%,-0.6%,-1.7%,Wed,Africa/Lagos
01/07/2020,07:00,EUR,yellow,German Retail Sales m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=113011,13.9%,3.5%,-6.5%,Wed,Africa/Lagos
01/07/2020,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=july.2020#detail=114724,-11.4%,,-11.8%,Wed,Africa/Lagos
01/07/2020,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111435,49.0,45.2,38.3,Wed,Africa/Lagos
01/07/2020,08:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111954,41.9,48.1,42.1,Wed,Africa/Lagos
01/07/2020,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111434,47.5,47.9,45.4,Wed,Africa/Lagos
01/07/2020,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111432,52.3,52.1,52.1,Wed,Africa/Lagos
01/07/2020,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111433,45.2,44.6,44.6,Wed,Africa/Lagos
01/07/2020,,EUR,yellow,German Unemployment Change,https://www.forexfactory.com/calendar?month=july.2020#detail=113012,69K,120K,237K,Wed,Africa/Lagos
01/07/2020,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111431,47.4,46.9,46.9,Wed,Africa/Lagos
01/07/2020,09:30,GBP,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111436,50.1,50.2,50.1,Wed,Africa/Lagos
01/07/2020,11:38,GBP,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2020#detail=116248,0.67|1.7,,0.60|2.6,Wed,Africa/Lagos
01/07/2020,12:00,GBP,orange,MPC Member Haskel Speaks,https://www.forexfactory.com/calendar?month=july.2020#detail=116265,,,,Wed,Africa/Lagos
01/07/2020,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=july.2020#detail=111114,305.5%,,577.8%,Wed,Africa/Lagos
01/07/2020,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=july.2020#detail=111113,2369K,2850K,3065K,Wed,Africa/Lagos
01/07/2020,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=july.2020#detail=113635,,,,Wed,Africa/Lagos
01/07/2020,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111439,49.8,49.6,49.6,Wed,Africa/Lagos
01/07/2020,15:00,USD,orange,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=111437,52.6,49.5,43.1,Wed,Africa/Lagos
01/07/2020,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=113986,-2.1%,1.0%,-3.5%,Wed,Africa/Lagos
01/07/2020,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=july.2020#detail=111438,51.3,43.8,40.8,Wed,Africa/Lagos
01/07/2020,All Day,USD,yellow,Wards Total Vehicle Sales,https://www.forexfactory.com/calendar?month=july.2020#detail=114297,13.1M,13.0M,8.7M,Wed,Africa/Lagos
01/07/2020,15:30,USD,yellow,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=july.2020#detail=110914,-7.2M,-0.9M,1.4M,Wed,Africa/Lagos
01/07/2020,19:00,USD,orange,FOMC Meeting Minutes,https://www.forexfactory.com/calendar?month=july.2020#detail=111369,,,,Wed,Africa/Lagos
02/07/2020,00:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=july.2020#detail=114884,6.0%,4.2%,3.9%,Thu,Africa/Lagos
02/07/2020,02:30,AUD,orange,Goods Trade Balance,https://www.forexfactory.com/calendar?month=july.2020#detail=114680,8.03B,9.00B,7.83B,Thu,Africa/Lagos
02/07/2020,04:35,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2020#detail=114776,0.06|3.7,,0.00|3.4,Thu,Africa/Lagos
02/07/2020,07:30,CHF,yellow,CPI m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=112051,0.0%,0.1%,0.0%,Thu,Africa/Lagos
02/07/2020,08:00,EUR,yellow,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=july.2020#detail=111926,5.1K,-113.0K,26.6K,Thu,Africa/Lagos
02/07/2020,09:00,EUR,yellow,Italian Monthly Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2020#detail=111735,7.8%,7.9%,6.6%,Thu,Africa/Lagos
02/07/2020,09:55,EUR,yellow,Spanish 10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2020#detail=111815,0.45|2.1,,0.53|3.9,Thu,Africa/Lagos
02/07/2020,10:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=112684,-0.6%,-0.4%,-2.0%,Thu,Africa/Lagos
02/07/2020,,EUR,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2020#detail=112601,7.4%,7.6%,7.3%,Thu,Africa/Lagos
02/07/2020,10:06,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2020#detail=111814,-0.09|2.7,,0.02|2.4,Thu,Africa/Lagos
02/07/2020,13:30,CAD,yellow,Trade Balance,https://www.forexfactory.com/calendar?month=july.2020#detail=113788,-0.7B,-3.0B,-4.3B,Thu,Africa/Lagos
02/07/2020,,USD,red,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=111084,-1.2%,-0.8%,-1.0%,Thu,Africa/Lagos
02/07/2020,,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=july.2020#detail=111085,4800K,3037K,2699K,Thu,Africa/Lagos
02/07/2020,,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2020#detail=111083,11.1%,12.4%,13.3%,Thu,Africa/Lagos
02/07/2020,,USD,orange,Unemployment Claims,https://www.forexfactory.com/calendar?month=july.2020#detail=110792,1427K,1350K,1482K,Thu,Africa/Lagos
02/07/2020,,USD,yellow,Trade Balance,https://www.forexfactory.com/calendar?month=july.2020#detail=111241,-54.6B,-53.0B,-49.8B,Thu,Africa/Lagos
02/07/2020,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=113648,47.8,,40.6,Thu,Africa/Lagos
02/07/2020,,USD,red,President Trump Speaks,https://www.forexfactory.com/calendar?month=july.2020#detail=116273,,,,Thu,Africa/Lagos
02/07/2020,15:00,USD,yellow,Factory Orders m/m,https://www.forexfactory.com/calendar?month=july.2020#detail=114174,8.0%,8.6%,-13.5%,Thu,Africa/Lagos
02/07/2020,15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=july.2020#detail=111038,65B,77B,120B,Thu,Africa/Lagos
02/07/2020,23:30,AUD,yellow,AIG Construction Index,https://www.forexfactory.com/calendar?month=july.2020#detail=112769,35.5,,24.9,Thu,Africa/Lagos
03/07/2020,00:01,GBP,yellow,GfK Consumer Confidence,https://www.forexfactory.com/calendar?month=july.2020#detail=116258,-27,-29,-30,Fri,Africa/Lagos
03/07/2020,02:45,CNY,yellow,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=july.2020#detail=115607,58.4,53.8,55.0,Fri,Africa/Lagos
03/07/2020,07:45,EUR,yellow,French Gov Budget Balance,https://www.forexfactory.com/calendar?month=july.2020#detail=111842,-117.9B,,-92.1B,Fri,Africa/Lagos
