date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/06/2017,00:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=70157,53.1,52.0,52.0,Thu,Africa/Lagos
01/06/2017,01:30,AUD,red,Private Capital Expenditure q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=68160,0.3%,0.4%,-1.0%,Thu,Africa/Lagos
01/06/2017,01:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=68182,1.0%,0.3%,-0.2%,Thu,Africa/Lagos
01/06/2017,01:45,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=70229,49.6,50.2,50.3,Thu,Africa/Lagos
01/06/2017,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=june.2017#detail=70920,0.05|3.6,,0.03|3.8,Thu,Africa/Lagos
01/06/2017,05:45,CHF,yellow,GDP q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=65823,0.3%,0.5%,0.2%,Thu,Africa/Lagos
01/06/2017,06:00,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=65937,-0.2%,0.2%,-0.4%,Thu,Africa/Lagos
01/06/2017,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=june.2017#detail=68465,32.6%,,40.5%,Thu,Africa/Lagos
01/06/2017,07:15,CHF,yellow,Retail Sales y/y,https://www.forexfactory.com/calendar?month=june.2017#detail=65831,-1.2%,2.4%,2.1%,Thu,Africa/Lagos
01/06/2017,07:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64752,55.4,54.9,54.5,Thu,Africa/Lagos
01/06/2017,07:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=65867,55.6,57.8,57.4,Thu,Africa/Lagos
01/06/2017,07:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64753,55.1,56.1,56.2,Thu,Africa/Lagos
01/06/2017,07:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64754,53.8,54.0,54.0,Thu,Africa/Lagos
01/06/2017,07:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64755,59.5,59.4,59.4,Thu,Africa/Lagos
01/06/2017,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64756,57.0,57.0,57.0,Thu,Africa/Lagos
01/06/2017,08:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64757,56.7,56.5,57.3,Thu,Africa/Lagos
01/06/2017,08:59,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=june.2017#detail=64556,0.72|1.8,,0.81|2.0,Thu,Africa/Lagos
01/06/2017,09:34,GBP,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=june.2017#detail=70923,1.14|2.1,,1.13|2.0,Thu,Africa/Lagos
01/06/2017,11:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=june.2017#detail=67520,9.7%,,-42.9%,Thu,Africa/Lagos
01/06/2017,12:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=june.2017#detail=67510,253K,181K,174K,Thu,Africa/Lagos
01/06/2017,12:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=june.2017#detail=64274,248K,239K,235K,Thu,Africa/Lagos
01/06/2017,13:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=65215,55.1,,55.9,Thu,Africa/Lagos
01/06/2017,13:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64758,52.7,52.5,52.5,Thu,Africa/Lagos
01/06/2017,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64919,54.9,54.7,54.8,Thu,Africa/Lagos
01/06/2017,14:00,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=66716,-1.4%,0.5%,1.1%,Thu,Africa/Lagos
01/06/2017,14:00,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=june.2017#detail=64921,60.5,67.0,68.5,Thu,Africa/Lagos
01/06/2017,All Day,USD,yellow,Wards Total Vehicle Sales,https://www.forexfactory.com/calendar?month=june.2017#detail=110331,16.6M,16.5M,17.0M,Thu,Africa/Lagos
01/06/2017,14:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=june.2017#detail=64270,81B,78B,75B,Thu,Africa/Lagos
01/06/2017,15:00,USD,red,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=june.2017#detail=64266,-6.4M,-2.7M,-4.4M,Thu,Africa/Lagos
01/06/2017,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=june.2017#detail=66954,16.7M,17.0M,16.9M,Thu,Africa/Lagos
01/06/2017,19:00,USD,red,President Trump Speaks,https://www.forexfactory.com/calendar?month=june.2017#detail=70928,,,,Thu,Africa/Lagos
01/06/2017,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=june.2017#detail=69005,19.4%,19.6%,19.8%,Thu,Africa/Lagos
02/06/2017,01:00,AUD,yellow,HIA New Home Sales m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=68307,0.8%,,-1.1%,Fri,Africa/Lagos
02/06/2017,05:00,JPY,yellow,Consumer Confidence,https://www.forexfactory.com/calendar?month=june.2017#detail=69127,43.6,43.6,43.2,Fri,Africa/Lagos
02/06/2017,07:00,EUR,orange,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=june.2017#detail=65111,-111.9K,-110.2K,-129.3K,Fri,Africa/Lagos
02/06/2017,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=june.2017#detail=69694,,,,Fri,Africa/Lagos
02/06/2017,08:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64903,56.0,52.7,53.1,Fri,Africa/Lagos
02/06/2017,09:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=66022,0.0%,0.2%,-0.3%,Fri,Africa/Lagos
02/06/2017,12:30,CAD,red,Trade Balance,https://www.forexfactory.com/calendar?month=june.2017#detail=70108,-0.4B,0.0B,-0.9B,Fri,Africa/Lagos
02/06/2017,12:30,CAD,orange,Labor Productivity q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=70014,1.4%,0.2%,0.4%,Fri,Africa/Lagos
02/06/2017,12:30,USD,red,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=64386,0.2%,0.2%,0.2%,Fri,Africa/Lagos
02/06/2017,12:30,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=june.2017#detail=64378,138K,181K,174K,Fri,Africa/Lagos
02/06/2017,12:30,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=june.2017#detail=64382,4.3%,4.4%,4.4%,Fri,Africa/Lagos
02/06/2017,12:30,USD,orange,Trade Balance,https://www.forexfactory.com/calendar?month=june.2017#detail=66565,-47.6B,-45.5B,-45.3B,Fri,Africa/Lagos
04/06/2017,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=june.2017#detail=69637,,,,Sun,Africa/Lagos
04/06/2017,23:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=june.2017#detail=68287,51.5,,53.0,Sun,Africa/Lagos
05/06/2017,01:00,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=68356,0.0%,,0.5%,Mon,Africa/Lagos
05/06/2017,01:30,AUD,orange,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=68039,6.0%,5.1%,20.1%,Mon,Africa/Lagos
05/06/2017,01:30,AUD,yellow,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=65586,0.4%,,1.5%,Mon,Africa/Lagos
05/06/2017,01:45,CNY,yellow,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=70212,52.8,51.4,51.5,Mon,Africa/Lagos
05/06/2017,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=june.2017#detail=67955,,,,Mon,Africa/Lagos
05/06/2017,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=june.2017#detail=69659,,,,Mon,Africa/Lagos
05/06/2017,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=june.2017#detail=69677,,,,Mon,Africa/Lagos
05/06/2017,07:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64837,57.3,57.5,57.8,Mon,Africa/Lagos
05/06/2017,07:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64838,55.1,55.4,56.2,Mon,Africa/Lagos
05/06/2017,07:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64841,57.2,58.0,58.0,Mon,Africa/Lagos
05/06/2017,07:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64840,55.4,55.2,55.2,Mon,Africa/Lagos
05/06/2017,08:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64839,56.3,56.2,56.2,Mon,Africa/Lagos
05/06/2017,08:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64842,53.8,55.1,55.8,Mon,Africa/Lagos
05/06/2017,12:30,USD,orange,Revised Nonfarm Productivity q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=67197,0.0%,-0.6%,-0.6%,Mon,Africa/Lagos
05/06/2017,12:30,USD,yellow,Revised Unit Labor Costs q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=67198,2.2%,3.0%,3.0%,Mon,Africa/Lagos
05/06/2017,13:45,USD,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64843,53.6,54.1,54.0,Mon,Africa/Lagos
05/06/2017,14:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=64891,56.9,57.1,57.5,Mon,Africa/Lagos
05/06/2017,14:00,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=66885,-0.2%,-0.2%,1.0%,Mon,Africa/Lagos
05/06/2017,23:01,GBP,yellow,BRC Retail Sales Monitor y/y,https://www.forexfactory.com/calendar?month=june.2017#detail=65334,-0.4%,,5.6%,Mon,Africa/Lagos
06/06/2017,00:00,JPY,yellow,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=june.2017#detail=69497,0.5%,0.3%,0.0%,Tue,Africa/Lagos
06/06/2017,01:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=65609,3.2%,,-0.2%,Tue,Africa/Lagos
06/06/2017,01:30,AUD,orange,Current Account,https://www.forexfactory.com/calendar?month=june.2017#detail=68070,-3.1B,-0.2B,-3.5B,Tue,Africa/Lagos
06/06/2017,03:45,JPY,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=june.2017#detail=69406,0.82|3.6,,0.82|3.4,Tue,Africa/Lagos
06/06/2017,04:30,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=june.2017#detail=68436,,,,Tue,Africa/Lagos
06/06/2017,04:30,AUD,orange,Cash Rate,https://www.forexfactory.com/calendar?month=june.2017#detail=68435,1.50%,1.50%,1.50%,Tue,Africa/Lagos
06/06/2017,08:10,EUR,yellow,Retail PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=66329,52.0,,52.7,Tue,Africa/Lagos
06/06/2017,08:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=june.2017#detail=66341,28.4,27.6,27.4,Tue,Africa/Lagos
06/06/2017,09:00,EUR,yellow,Retail Sales m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=66023,0.1%,0.2%,0.2%,Tue,Africa/Lagos
06/06/2017,13:59,CAD,orange,Ivey PMI,https://www.forexfactory.com/calendar?month=june.2017#detail=65230,53.8,62.0,62.4,Tue,Africa/Lagos
06/06/2017,14:00,USD,orange,JOLTS Job Openings,https://www.forexfactory.com/calendar?month=june.2017#detail=67568,6.04M,5.65M,5.79M,Tue,Africa/Lagos
06/06/2017,14:37,NZD,orange,GDT Price Index,https://www.forexfactory.com/calendar?month=june.2017#detail=65641,0.6%,,3.2%,Tue,Africa/Lagos
06/06/2017,20:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=june.2017#detail=99108,,,,Tue,Africa/Lagos
06/06/2017,22:45,NZD,yellow,Manufacturing Sales q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=65759,2.8%,,1.3%,Tue,Africa/Lagos
06/06/2017,23:30,AUD,yellow,AIG Construction Index,https://www.forexfactory.com/calendar?month=june.2017#detail=68237,56.7,,51.9,Tue,Africa/Lagos
07/06/2017,01:30,AUD,red,GDP q/q,https://www.forexfactory.com/calendar?month=june.2017#detail=68078,0.3%,0.2%,1.1%,Wed,Africa/Lagos
07/06/2017,05:00,JPY,yellow,Leading Indicators,https://www.forexfactory.com/calendar?month=june.2017#detail=69215,104.5%,104.4%,105.7%,Wed,Africa/Lagos
07/06/2017,06:00,EUR,yellow,German Factory Orders m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=66184,-2.1%,-0.2%,1.1%,Wed,Africa/Lagos
07/06/2017,07:00,CHF,yellow,Foreign Currency Reserves,https://www.forexfactory.com/calendar?month=june.2017#detail=67660,694B,,697B,Wed,Africa/Lagos
07/06/2017,07:30,GBP,orange,Halifax HPI m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=65926,0.4%,-0.2%,0.0%,Wed,Africa/Lagos
07/06/2017,08:00,EUR,yellow,Italian Retail Sales m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=65196,-0.1%,0.2%,0.0%,Wed,Africa/Lagos
07/06/2017,12:30,CAD,orange,Building Permits m/m,https://www.forexfactory.com/calendar?month=june.2017#detail=69864,-0.2%,2.4%,-4.9%,Wed,Africa/Lagos
07/06/2017,14:30,USD,red,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=june.2017#detail=64278,3.3M,-3.1M,-6.4M,Wed,Africa/Lagos
