date,time,currency,impact,event,detail,actual,forecast,previous,day
01/06/2020,00:50,JPY,yellow,Capital Spending q/y,https://www.forexfactory.com/calendar?month=june.2020#detail=114955,4.3%,-5.1%,-3.5%,Mon
01/06/2020,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=114802,38.4,38.4,38.4,Mon
01/06/2020,02:00,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=june.2020#detail=114747,-1.2%,,-0.1%,Mon
01/06/2020,02:45,CNY,yellow,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=115599,50.7,49.7,49.4,Mon
01/06/2020,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=june.2020#detail=114349,,,,Mon
01/06/2020,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=june.2020#detail=114355,,,,Mon
01/06/2020,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=june.2020#detail=116177,,,,Mon
01/06/2020,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=june.2020#detail=114723,-7.4%,,-7.3%,Mon
01/06/2020,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111421,38.3,38.5,30.8,Mon
01/06/2020,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111424,45.4,35.5,31.1,Mon
01/06/2020,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111425,40.6,40.3,40.3,Mon
01/06/2020,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111427,36.6,36.8,36.8,Mon
01/06/2020,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111426,39.4,39.5,39.5,Mon
01/06/2020,09:30,GBP,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111423,40.7,40.7,40.6,Mon
01/06/2020,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=113647,40.6,,33.0,Mon
01/06/2020,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111430,39.8,39.8,39.8,Mon
01/06/2020,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2020#detail=111428,43.1,43.5,41.5,Mon
01/06/2020,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=june.2020#detail=113985,-2.9%,-6.5%,0.0%,Mon
01/06/2020,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=june.2020#detail=111429,40.8,40.0,35.3,Mon
01/06/2020,23:45,NZD,yellow,Building Consents m/m,https://www.forexfactory.com/calendar?month=june.2020#detail=113532,-6.5%,,-21.7%,Mon
01/06/2020,,NZD,yellow,Overseas Trade Index q/q,https://www.forexfactory.com/calendar?month=june.2020#detail=113595,-0.7%,1.5%,2.8%,Mon
02/06/2020,00:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=june.2020#detail=114883,3.9%,2.6%,2.3%,Tue
02/06/2020,02:30,AUD,orange,Current Account,https://www.forexfactory.com/calendar?month=june.2020#detail=114625,8.4B,6.3B,1.7B,Tue
02/06/2020,,AUD,yellow,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=june.2020#detail=114621,1.1%,0.0%,-3.5%,Tue
02/06/2020,04:35,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=june.2020#detail=114774,0.00|3.4,,0.00|4.1,Tue
02/06/2020,05:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=june.2020#detail=112781,0.25%,0.25%,0.25%,Tue
02/06/2020,,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=june.2020#detail=112795,,,,Tue
02/06/2020,07:00,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=june.2020#detail=112486,-1.7%,-1.0%,0.9%,Tue
02/06/2020,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=june.2020#detail=115591,,,,Tue
02/06/2020,07:30,CHF,yellow,Retail Sales y/y,https://www.forexfactory.com/calendar?month=june.2020#detail=111990,-19.9%,-4.9%,-5.8%,Tue
