date,time,currency,impact,actual,forecast,previous,day,event,detail,timezone
01/06/2022,00:01,GBP,yellow,2.8%,,2.7%,Wed,,,Africa/Lagos
01/06/2022,00:50,JPY,yellow,3.0%,3.7%,4.3%,Wed,,,Africa/Lagos
01/06/2022,01:30,JPY,yellow,53.3,53.2,53.2,Wed,,,Africa/Lagos
01/06/2022,02:30,AUD,red,0.8%,0.6%,3.6%,Wed,,,Africa/Lagos
01/06/2022,02:45,CNY,yellow,48.1,49.1,46.0,Wed,,,Africa/Lagos
01/06/2022,07:00,EUR,yellow,-5.4%,-0.5%,0.9%,Wed,,,Africa/Lagos
01/06/2022,,GBP,yellow,0.9%,0.6%,0.4%,Wed,,,Africa/Lagos
01/06/2022,07:30,AUD,yellow,30.4%,,40.3%,Wed,,,Africa/Lagos
01/06/2022,08:15,EUR,yellow,53.8,51.9,53.3,Wed,,,Africa/Lagos
01/06/2022,08:30,CHF,yellow,60.0,61.2,62.5,Wed,,,Africa/Lagos
01/06/2022,08:45,EUR,yellow,51.9,53.5,54.5,Wed,,,Africa/Lagos
01/06/2022,08:50,EUR,yellow,54.6,54.5,54.5,Wed,,,Africa/Lagos
01/06/2022,08:55,EUR,yellow,54.8,54.7,54.7,Wed,,,Africa/Lagos
01/06/2022,09:00,EUR,yellow,54.6,54.4,54.4,Wed,,,Africa/Lagos
01/06/2022,,EUR,yellow,8.4%,8.3%,8.4%,Wed,,,Africa/Lagos
01/06/2022,09:30,GBP,yellow,54.6,54.6,54.6,Wed,,,Africa/Lagos
01/06/2022,10:00,EUR,yellow,6.8%,6.8%,6.8%,Wed,,,Africa/Lagos
01/06/2022,12:00,EUR,orange,,,,Wed,,,Africa/Lagos
01/06/2022,14:30,CAD,yellow,56.8,,56.2,Wed,,,Africa/Lagos
01/06/2022,14:45,USD,yellow,57.0,57.5,57.5,Wed,,,Africa/Lagos
01/06/2022,14:49,EUR,yellow,-67.3B,,-38.3B,Wed,,,Africa/Lagos
01/06/2022,15:00,CAD,red,,,,Wed,,,Africa/Lagos
01/06/2022,,CAD,red,1.50%,1.50%,1.00%,Wed,,,Africa/Lagos
01/06/2022,,USD,red,56.1,54.4,55.4,Wed,,,Africa/Lagos
01/06/2022,,USD,red,11.40M,11.29M,11.86M,Wed,,,Africa/Lagos
01/06/2022,,USD,yellow,0.2%,0.7%,0.3%,Wed,,,Africa/Lagos
01/06/2022,,USD,yellow,82.2,80.6,84.6,Wed,,,Africa/Lagos
01/06/2022,All Day,USD,yellow,12.7M,13.6M,14.3M,Wed,,,Africa/Lagos
01/06/2022,16:30,USD,yellow,,,,Wed,,,Africa/Lagos
01/06/2022,18:00,USD,orange,,,,Wed,,,Africa/Lagos
01/06/2022,19:00,USD,yellow,,,,Wed,,,Africa/Lagos
01/06/2022,21:30,USD,yellow,,,,Wed,,,Africa/Lagos
01/06/2022,23:45,NZD,yellow,0.5%,1.3%,-0.9%,Wed,,,Africa/Lagos
02/06/2022,00:50,JPY,yellow,4.6%,2.3%,6.6%,Thu,,,Africa/Lagos
02/06/2022,All Day,CNY,gray,,,,Thu,,,Africa/Lagos
02/06/2022,02:30,AUD,yellow,10.50B,9.02B,9.74B,Thu,,,Africa/Lagos
02/06/2022,04:35,JPY,yellow,0.24|4.9,,0.25|5.7,Thu,,,Africa/Lagos
02/06/2022,07:30,CHF,yellow,0.7%,0.3%,0.4%,Thu,,,Africa/Lagos
02/06/2022,08:00,EUR,orange,-99.5K,-33.5K,-86.3K,Thu,,,Africa/Lagos
02/06/2022,All Day,GBP,gray,,,,Thu,,,Africa/Lagos
02/06/2022,All Day,EUR,gray,,,,Thu,,,Africa/Lagos
02/06/2022,09:48,EUR,yellow,2.15|2.0,,2.05|1.3,Thu,,,Africa/Lagos
02/06/2022,09:56,EUR,yellow,1.72|2.0,,1.51|1.8,Thu,,,Africa/Lagos
02/06/2022,10:00,EUR,yellow,1.2%,2.3%,5.3%,Thu,,,Africa/Lagos
02/06/2022,All Day,All,orange,,,,Thu,,,Africa/Lagos
02/06/2022,12:30,USD,yellow,-15.8%,,6.0%,Thu,,,Africa/Lagos
02/06/2022,13:15,USD,red,128K,295K,202K,Thu,,,Africa/Lagos
02/06/2022,13:30,CAD,yellow,-0.6%,0.5%,-6.3%,Thu,,,Africa/Lagos
02/06/2022,,USD,orange,200K,210K,211K,Thu,,,Africa/Lagos
02/06/2022,,USD,yellow,-7.3%,-7.5%,-7.5%,Thu,,,Africa/Lagos
02/06/2022,,USD,yellow,12.6%,11.6%,11.6%,Thu,,,Africa/Lagos
02/06/2022,15:00,USD,yellow,0.3%,0.8%,1.8%,Thu,,,Africa/Lagos
02/06/2022,15:30,USD,yellow,90B,86B,80B,Thu,,,Africa/Lagos
02/06/2022,15:45,CAD,yellow,,,,Thu,,,Africa/Lagos
02/06/2022,16:00,USD,yellow,-5.1M,-3.0M,-1.0M,Thu,,,Africa/Lagos
02/06/2022,18:00,USD,orange,,,,Thu,,,Africa/Lagos
02/06/2022,23:30,AUD,yellow,50.4,,55.9,Thu,,,Africa/Lagos
03/06/2022,07:00,EUR,yellow,3.5B,5.6B,1.9B,Fri,,,Africa/Lagos
03/06/2022,07:45,EUR,yellow,-0.1%,0.2%,-0.4%,Fri,,,Africa/Lagos
03/06/2022,All Day,GBP,gray,,,,Fri,,,Africa/Lagos
03/06/2022,08:15,EUR,yellow,56.5,56.0,57.1,Fri,,,Africa/Lagos
03/06/2022,08:45,EUR,yellow,53.7,54.6,55.7,Fri,,,Africa/Lagos
03/06/2022,08:50,EUR,yellow,58.3,58.4,58.4,Fri,,,Africa/Lagos
03/06/2022,08:55,EUR,yellow,55.0,56.3,56.3,Fri,,,Africa/Lagos
03/06/2022,09:00,EUR,yellow,56.1,56.3,56.3,Fri,,,Africa/Lagos
03/06/2022,10:00,EUR,yellow,-1.3%,0.3%,0.3%,Fri,,,Africa/Lagos
03/06/2022,13:30,CAD,yellow,-0.5%,-0.5%,-0.6%,Fri,,,Africa/Lagos
03/06/2022,,USD,red,0.3%,0.4%,0.3%,Fri,,,Africa/Lagos
03/06/2022,,USD,red,390K,325K,436K,Fri,,,Africa/Lagos
03/06/2022,,USD,red,3.6%,3.5%,3.6%,Fri,,,Africa/Lagos
03/06/2022,14:45,USD,yellow,53.4,53.5,53.5,Fri,,,Africa/Lagos
03/06/2022,15:00,USD,orange,55.9,56.5,57.1,Fri,,,Africa/Lagos
03/06/2022,15:30,USD,orange,,,,Fri,,,Africa/Lagos
03/06/2022,,USD,yellow,,,,Fri,,,Africa/Lagos
05/06/2022,All Day,NZD,gray,,,,Sun,,,Africa/Lagos
06/06/2022,02:02,AUD,yellow,1.1%,,-0.1%,Mon,,,Africa/Lagos
