date,time,currency,impact,event,detail,actual,forecast,previous,day
01/03/2007,00:30,AUD,red,Private Capital Expenditure q/q,https://www.forexfactory.com/calendar?month=march.2007#detail=3771,-0.2%,2.9%,-5.3%,Thu
01/03/2007,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=18322,53.0,,52.0,Thu
01/03/2007,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2007#detail=48976,1.67|3.9,,1.70|2.8,Thu
01/03/2007,05:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=10308,8.1%,,9.6%,Thu
01/03/2007,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=43791,56.2,,56.2,Thu
01/03/2007,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3705,63.5,62.0,62.0,Thu
01/03/2007,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=43433,54.2,53.9,53.5,Thu
01/03/2007,09:00,EUR,orange,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3769,55.6,55.7,55.5,Thu
01/03/2007,09:30,GBP,orange,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3753,55.4,53.0,53.2,Thu
01/03/2007,,GBP,yellow,Mortgage Approvals,https://www.forexfactory.com/calendar?month=march.2007#detail=10288,120K,110K,114K,Thu
01/03/2007,,GBP,yellow,Net Lending to Individuals m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3754,10.7B,11.0B,11.3B,Thu
01/03/2007,10:00,EUR,yellow,CPI Flash Estimate y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=3770,1.8%,1.9%,1.9%,Thu
01/03/2007,10:10,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2007#detail=43328,4.01|2.3,,4.12|2.8,Thu
01/03/2007,11:00,GBP,orange,CBI Realized Sales,https://www.forexfactory.com/calendar?month=march.2007#detail=3751,19,22,30,Thu
01/03/2007,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=8623,-3.9%,,-39.1%,Thu
01/03/2007,13:30,CAD,orange,Current Account,https://www.forexfactory.com/calendar?month=march.2007#detail=3747,3.0B,6.0B,5.8B,Thu
01/03/2007,,CAD,orange,RMPI m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3772,-3.1%,-1.9%,5.3%,Thu
01/03/2007,,CAD,yellow,IPPI m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3748,-0.1%,0.3%,1.4%,Thu
01/03/2007,,USD,red,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3714,0.3%,0.2%,0.1%,Thu
01/03/2007,,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3715,0.5%,0.4%,0.7%,Thu
01/03/2007,,USD,yellow,Personal Income m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3716,1.0%,0.3%,0.5%,Thu
01/03/2007,,USD,yellow,Unemployment Claims,https://www.forexfactory.com/calendar?month=march.2007#detail=3717,338K,330K,331K,Thu
01/03/2007,14:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=march.2007#detail=8318,-132B,-142B,-223B,Thu
01/03/2007,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3718,52.3,50.0,49.3,Thu
01/03/2007,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3721,-0.8%,-0.5%,0.6%,Thu
01/03/2007,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=march.2007#detail=3719,59.0,53.8,53.0,Thu
01/03/2007,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=march.2007#detail=3723,16.6M,16.2M,16.6M,Thu
01/03/2007,17:00,USD,yellow,Treasury Sec Paulson Speaks,https://www.forexfactory.com/calendar?month=march.2007#detail=3760,,,,Thu
01/03/2007,23:30,JPY,orange,Tokyo Core CPI y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=3744,0.0%,0.1%,0.2%,Thu
01/03/2007,,JPY,yellow,Household Spending y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=3745,0.6%,-0.2%,-1.9%,Thu
01/03/2007,,JPY,yellow,National Core CPI y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=3742,0.0%,0.0%,0.1%,Thu
01/03/2007,,JPY,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=march.2007#detail=3746,4.0%,4.1%,4.1%,Thu
01/03/2007,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=3740,-21.1%,-21.5%,-21.1%,Thu
02/03/2007,00:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3701,0.9%,0.5%,0.2%,Fri
02/03/2007,,AUD,orange,Current Account,https://www.forexfactory.com/calendar?month=march.2007#detail=3702,-15.1B,-14.0B,-12.6B,Fri
02/03/2007,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=18327,53.1,,55.1,Fri
02/03/2007,01:30,JPY,yellow,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=march.2007#detail=3741,-1.4%,0.3%,-0.1%,Fri
02/03/2007,07:00,EUR,orange,German Retail Sales m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3766,-5.1%,-1.3%,2.6%,Fri
02/03/2007,08:00,EUR,yellow,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=march.2007#detail=43970,-7.2K,,59.6K,Fri
