date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/03/2009,All Day,EUR,orange,EU Economic Summit,https://www.forexfactory.com/calendar?month=march.2009#detail=17470,,,,Sun,Africa/Lagos
01/03/2009,22:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=march.2009#detail=10834,31.7,,36.6,Sun,Africa/Lagos
01/03/2009,23:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13099,0.7%,,0.8%,Sun,Africa/Lagos
02/03/2009,00:03,AUD,orange,HIA New Home Sales m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=14477,8.3%,,-1.7%,Mon,Africa/Lagos
02/03/2009,00:30,AUD,yellow,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=march.2009#detail=12391,-6.5%,-1.7%,7.3%,Mon,Africa/Lagos
02/03/2009,01:30,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=14568,-1.3%,-1.2%,-0.8%,Mon,Africa/Lagos
02/03/2009,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=18318,45.1,,42.2,Mon,Africa/Lagos
02/03/2009,05:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=14056,19.1%,,25.5%,Mon,Africa/Lagos
02/03/2009,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=43815,31.8,,31.5,Mon,Africa/Lagos
02/03/2009,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=11100,32.6,34.8,35.0,Mon,Africa/Lagos
02/03/2009,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=43469,35.0,35.4,36.1,Mon,Africa/Lagos
02/03/2009,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=58849,34.8,35.4,35.4,Mon,Africa/Lagos
02/03/2009,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=58968,32.1,32.1,32.2,Mon,Africa/Lagos
02/03/2009,09:00,EUR,orange,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10927,33.5,33.6,33.6,Mon,Africa/Lagos
02/03/2009,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10851,34.7,34.9,35.8,Mon,Africa/Lagos
02/03/2009,09:30,GBP,yellow,Mortgage Approvals,https://www.forexfactory.com/calendar?month=march.2009#detail=12397,31K,33K,31K,Mon,Africa/Lagos
02/03/2009,09:30,GBP,yellow,Net Lending to Individuals m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13255,1.1B,1.8B,2.1B,Mon,Africa/Lagos
02/03/2009,10:00,EUR,orange,CPI Flash Estimate y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=13728,1.2%,1.0%,1.1%,Mon,Africa/Lagos
02/03/2009,10:00,EUR,yellow,Italian Prelim CPI m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=14383,0.2%,0.2%,-0.1%,Mon,Africa/Lagos
02/03/2009,13:30,CAD,red,GDP m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=12760,-1.0%,-0.7%,-0.7%,Mon,Africa/Lagos
02/03/2009,13:30,USD,orange,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11454,0.1%,0.1%,0.0%,Mon,Africa/Lagos
02/03/2009,13:30,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11453,0.6%,0.3%,-1.0%,Mon,Africa/Lagos
02/03/2009,13:30,USD,yellow,Personal Income m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11440,0.4%,-0.2%,-0.2%,Mon,Africa/Lagos
02/03/2009,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10766,35.8,34.0,35.6,Mon,Africa/Lagos
02/03/2009,15:00,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11117,-3.3%,-1.5%,-2.4%,Mon,Africa/Lagos
02/03/2009,15:00,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=march.2009#detail=10768,29.0,35.5,29.0,Mon,Africa/Lagos
02/03/2009,17:45,USD,orange,FOMC Member Lacker Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17463,,,,Mon,Africa/Lagos
02/03/2009,18:30,CHF,orange,SNB Chairman Roth Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=15886,,,,Mon,Africa/Lagos
02/03/2009,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=13819,6.4%,1.9%,3.9%,Mon,Africa/Lagos
03/03/2009,00:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=12719,0.2%,-0.5%,3.8%,Tue,Africa/Lagos
03/03/2009,00:30,AUD,orange,Current Account,https://www.forexfactory.com/calendar?month=march.2009#detail=12729,-6.5B,-7.3B,-9.5B,Tue,Africa/Lagos
03/03/2009,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=42274,41.9,,51.0,Tue,Africa/Lagos
03/03/2009,03:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=march.2009#detail=10571,3.25%,3.00%,3.25%,Tue,Africa/Lagos
03/03/2009,03:30,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=march.2009#detail=10572,,,,Tue,Africa/Lagos
03/03/2009,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2009#detail=49000,1.30|2.9,,1.30|2.2,Tue,Africa/Lagos
03/03/2009,06:45,CHF,orange,GDP q/q,https://www.forexfactory.com/calendar?month=march.2009#detail=12536,-0.3%,-0.9%,-0.1%,Tue,Africa/Lagos
03/03/2009,07:00,EUR,yellow,German WPI m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11895,-0.4%,-2.0%,-3.2%,Tue,Africa/Lagos
03/03/2009,08:00,EUR,yellow,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=march.2009#detail=43994,154.1K,,198.8K,Tue,Africa/Lagos
03/03/2009,09:30,GBP,orange,Construction PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10853,27.8,34.2,34.5,Tue,Africa/Lagos
03/03/2009,13:00,USD,orange,FOMC Member Lockhart Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17410,,,,Tue,Africa/Lagos
03/03/2009,13:15,USD,red,Fed Announcement,https://www.forexfactory.com/calendar?month=march.2009#detail=30135,,,,Tue,Africa/Lagos
03/03/2009,13:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=march.2009#detail=56215,17.5%,,-8.2%,Tue,Africa/Lagos
03/03/2009,14:00,CAD,red,BOC Rate Statement,https://www.forexfactory.com/calendar?month=march.2009#detail=10556,,,,Tue,Africa/Lagos
03/03/2009,14:00,CAD,red,Overnight Rate,https://www.forexfactory.com/calendar?month=march.2009#detail=10555,0.50%,0.50%,1.00%,Tue,Africa/Lagos
03/03/2009,15:00,USD,red,Fed Chairman Bernanke Testifies,https://www.forexfactory.com/calendar?month=march.2009#detail=17464,,,,Tue,Africa/Lagos
03/03/2009,15:00,USD,red,Pending Home Sales m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13329,-7.7%,-3.0%,4.8%,Tue,Africa/Lagos
03/03/2009,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=march.2009#detail=12958,9.1M,9.5M,9.6M,Tue,Africa/Lagos
03/03/2009,17:30,EUR,orange,ECB President Trichet Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17469,,,,Tue,Africa/Lagos
03/03/2009,17:30,USD,orange,Treasury Sec Geithner Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17471,,,,Tue,Africa/Lagos
03/03/2009,21:15,NZD,orange,RBNZ Gov Bollard Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17468,,,,Tue,Africa/Lagos
03/03/2009,22:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=march.2009#detail=10835,32.2,,41.0,Tue,Africa/Lagos
03/03/2009,23:40,AUD,orange,RBA Assist Gov Edey Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17413,,,,Tue,Africa/Lagos
04/03/2009,00:01,GBP,orange,Nationwide Consumer Confidence,https://www.forexfactory.com/calendar?month=march.2009#detail=13011,43,38,41,Wed,Africa/Lagos
04/03/2009,00:30,AUD,red,GDP q/q,https://www.forexfactory.com/calendar?month=march.2009#detail=10796,-0.5%,0.2%,0.1%,Wed,Africa/Lagos
04/03/2009,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=18319,49.0,,45.3,Wed,Africa/Lagos
04/03/2009,02:09,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13980,-4.6%,,-4.3%,Wed,Africa/Lagos
04/03/2009,08:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=43911,31.7,,31.8,Wed,Africa/Lagos
04/03/2009,08:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=43529,37.9,39.6,41.1,Wed,Africa/Lagos
04/03/2009,08:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=59106,40.2,40.1,40.1,Wed,Africa/Lagos
04/03/2009,08:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=59118,41.3,41.6,41.6,Wed,Africa/Lagos
04/03/2009,09:00,EUR,orange,Final Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10957,39.2,38.9,38.9,Wed,Africa/Lagos
04/03/2009,09:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10855,43.2,41.6,42.5,Wed,Africa/Lagos
04/03/2009,10:30,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=12707,1.9%,,1.1%,Wed,Africa/Lagos
04/03/2009,10:43,GBP,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2009#detail=43132,4.49|1.5,,3.98|1.7,Wed,Africa/Lagos
04/03/2009,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=13843,158.4%,,222.4%,Wed,Africa/Lagos
04/03/2009,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=march.2009#detail=11599,-697K,-620K,-614K,Wed,Africa/Lagos
04/03/2009,15:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10767,41.6,41.2,42.9,Wed,Africa/Lagos
04/03/2009,15:00,USD,yellow,Treasury Sec Geithner Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17472,,,,Wed,Africa/Lagos
04/03/2009,15:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=march.2009#detail=14628,-0.7M,1.0M,0.7M,Wed,Africa/Lagos
04/03/2009,17:00,USD,orange,FOMC Member Lockhart Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17411,,,,Wed,Africa/Lagos
04/03/2009,19:00,USD,orange,Beige Book,https://www.forexfactory.com/calendar?month=march.2009#detail=10992,,,,Wed,Africa/Lagos
04/03/2009,23:50,JPY,orange,Capital Spending q/y,https://www.forexfactory.com/calendar?month=march.2009#detail=13786,-17.3%,-15.6%,-13.0%,Wed,Africa/Lagos
05/03/2009,00:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=12824,-3.7%,1.4%,-1.9%,Thu,Africa/Lagos
05/03/2009,00:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=march.2009#detail=12823,0.97B,1.10B,0.42B,Thu,Africa/Lagos
05/03/2009,03:45,JPY,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2009#detail=49067,1.94|2.5,,1.88|3.3,Thu,Africa/Lagos
