date,time,currency,impact,actual,forecast,previous,day,event,detail,timezone
01/05/2013,00:30,AUD,yellow,36.7,,44.4,Wed,,,Africa/Lagos
01/05/2013,All Day,CNY,gray,,,,Wed,,,Africa/Lagos
01/05/2013,02:00,AUD,orange,4.2%,,-5.3%,Wed,,,Africa/Lagos
01/05/2013,,CNY,red,50.6,50.8,50.9,Wed,,,Africa/Lagos
01/05/2013,02:30,JPY,orange,-0.6%,-1.0%,-0.8%,Wed,,,Africa/Lagos
01/05/2013,04:25,AUD,orange,,,,Wed,,,Africa/Lagos
01/05/2013,04:45,JPY,yellow,0.60|3.7,,0.55|3.2,Wed,,,Africa/Lagos
01/05/2013,07:00,GBP,orange,-0.1%,0.3%,0.0%,Wed,,,Africa/Lagos
01/05/2013,All Day,CHF,gray,,,,Wed,,,Africa/Lagos
01/05/2013,All Day,EUR,gray,,,,Wed,,,Africa/Lagos
01/05/2013,All Day,EUR,gray,,,,Wed,,,Africa/Lagos
01/05/2013,All Day,EUR,gray,,,,Wed,,,Africa/Lagos
01/05/2013,07:30,AUD,yellow,-6.5%,,-7.5%,Wed,,,Africa/Lagos
01/05/2013,09:30,GBP,red,49.8,48.6,48.6,Wed,,,Africa/Lagos
01/05/2013,13:15,USD,red,119K,154K,131K,Wed,,,Africa/Lagos
01/05/2013,14:00,USD,yellow,52.1,52.1,52.0,Wed,,,Africa/Lagos
01/05/2013,14:30,CAD,yellow,50.1,,49.3,Wed,,,Africa/Lagos
01/05/2013,15:00,USD,red,50.7,51.0,51.3,Wed,,,Africa/Lagos
01/05/2013,,USD,yellow,-1.7%,0.7%,1.5%,Wed,,,Africa/Lagos
01/05/2013,,USD,yellow,50.0,52.6,54.5,Wed,,,Africa/Lagos
01/05/2013,15:30,NZD,yellow,-8.6%,,1.6%,Wed,,,Africa/Lagos
01/05/2013,,USD,orange,6.7M,1.2M,0.9M,Wed,,,Africa/Lagos
01/05/2013,All Day,USD,yellow,14.9M,15.2M,15.3M,Wed,,,Africa/Lagos
01/05/2013,19:00,GBP,orange,,,,Wed,,,Africa/Lagos
01/05/2013,,USD,red,,,,Wed,,,Africa/Lagos
01/05/2013,,USD,orange,<0.25%,<0.25%,<0.25%,Wed,,,Africa/Lagos
01/05/2013,23:05,CAD,orange,,,,Wed,,,Africa/Lagos
02/05/2013,00:50,JPY,red,,,,Thu,,,Africa/Lagos
02/05/2013,,JPY,orange,23.1%,21.0%,19.8%,Thu,,,Africa/Lagos
02/05/2013,02:00,NZD,yellow,12.6%,,7.4%,Thu,,,Africa/Lagos
02/05/2013,02:30,AUD,red,-5.5%,1.2%,3.0%,Thu,,,Africa/Lagos
02/05/2013,,AUD,orange,0.0%,-0.5%,0.3%,Thu,,,Africa/Lagos
02/05/2013,02:45,CNY,orange,50.4,50.6,50.5,Thu,,,Africa/Lagos
02/05/2013,08:15,EUR,red,44.7,44.6,44.2,Thu,,,Africa/Lagos
02/05/2013,08:30,CHF,orange,50.2,49.1,48.3,Thu,,,Africa/Lagos
02/05/2013,08:45,EUR,orange,45.5,44.9,44.5,Thu,,,Africa/Lagos
02/05/2013,08:50,EUR,yellow,44.4,44.4,44.4,Thu,,,Africa/Lagos
02/05/2013,08:55,EUR,yellow,48.1,47.9,47.9,Thu,,,Africa/Lagos
02/05/2013,09:00,EUR,yellow,46.7,46.5,46.5,Thu,,,Africa/Lagos
02/05/2013,09:30,GBP,red,49.4,48.1,47.2,Thu,,,Africa/Lagos
02/05/2013,10:00,EUR,orange,1.81|2.0,,1.94|3.1,Thu,,,Africa/Lagos
02/05/2013,12:30,USD,yellow,-6.0%,,30.0%,Thu,,,Africa/Lagos
02/05/2013,12:45,EUR,red,0.50%,0.50%,0.75%,Thu,,,Africa/Lagos
