date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/05/2023,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=may.2023#detail=133706,,,,Mon,Africa/Lagos
01/05/2023,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2023#detail=128805,49.5,49.5,49.5,Mon,Africa/Lagos
01/05/2023,02:00,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=may.2023#detail=130635,0.2%,,0.3%,Mon,Africa/Lagos
01/05/2023,02:30,AUD,yellow,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=may.2023#detail=134084,-0.3%,,-2.7%,Mon,Africa/Lagos
01/05/2023,06:00,JPY,yellow,Consumer Confidence,https://www.forexfactory.com/calendar?month=may.2023#detail=128213,35.4,34.7,33.9,Mon,Africa/Lagos
01/05/2023,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=may.2023#detail=133721,,,,Mon,Africa/Lagos
01/05/2023,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=may.2023#detail=130618,-19.2%,,-6.9%,Mon,Africa/Lagos
01/05/2023,All Day,GBP,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=may.2023#detail=133642,,,,Mon,Africa/Lagos
01/05/2023,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=may.2023#detail=133722,,,,Mon,Africa/Lagos
01/05/2023,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=may.2023#detail=133723,,,,Mon,Africa/Lagos
01/05/2023,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=may.2023#detail=133724,,,,Mon,Africa/Lagos
01/05/2023,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2023#detail=130455,50.2,,48.6,Mon,Africa/Lagos
01/05/2023,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2023#detail=130468,50.2,50.4,50.4,Mon,Africa/Lagos
01/05/2023,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2023#detail=130013,47.1,46.8,46.3,Mon,Africa/Lagos
01/05/2023,15:00,USD,orange,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=may.2023#detail=130012,53.2,49.4,49.2,Mon,Africa/Lagos
01/05/2023,15:00,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=may.2023#detail=129963,0.3%,0.2%,-0.3%,Mon,Africa/Lagos
