date,time,currency,impact,event,detail,actual,forecast,previous,day
01/05/2024,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=may.2024#detail=139507,,,,Wed
01/05/2024,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2024#detail=135876,49.6,49.9,49.9,Wed
01/05/2024,02:00,NZD,orange,RBNZ Gov Orr Speaks,https://www.forexfactory.com/calendar?month=may.2024#detail=140136,,,,Wed
01/05/2024,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=may.2024#detail=139469,,,,Wed
01/05/2024,07:00,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=may.2024#detail=135775,-0.4%,0.1%,-0.2%,Wed
01/05/2024,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=may.2024#detail=139467,,,,Wed
01/05/2024,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=may.2024#detail=139438,,,,Wed
01/05/2024,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=may.2024#detail=139470,,,,Wed
01/05/2024,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=may.2024#detail=137406,-11.6%,,-14.9%,Wed
01/05/2024,09:30,GBP,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2024#detail=134651,49.1,48.7,48.7,Wed
01/05/2024,10:03,GBP,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=may.2024#detail=135626,4.37|3.1,,4.01|3.3,Wed
01/05/2024,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=may.2024#detail=136084,192K,179K,208K,Wed
01/05/2024,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2024#detail=137058,49.4,,49.8,Wed
01/05/2024,14:45,USD,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2024#detail=136847,50.0,49.9,49.9,Wed
01/05/2024,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=may.2024#detail=136590,49.2,50.0,50.3,Wed
01/05/2024,,USD,red,JOLTS Job Openings,https://www.forexfactory.com/calendar?month=may.2024#detail=138640,8.49M,8.68M,8.81M,Wed
01/05/2024,,USD,orange,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=may.2024#detail=136602,60.9,55.5,55.8,Wed
