date,time,currency,impact,event,detail,actual,forecast,previous,day
01/11/2010,00:30,AUD,orange,HPI q/q,https://www.forexfactory.com/calendar?month=november.2010#detail=27135,0.1%,0.1%,2.0%,Mon
01/11/2010,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2010#detail=24903,54.7,53.5,53.8,Mon
01/11/2010,01:30,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=november.2010#detail=28381,0.9%,0.5%,0.4%,Mon
01/11/2010,02:04,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=november.2010#detail=27281,3.5%,,2.8%,Mon
01/11/2010,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2010#detail=24902,54.8,,52.9,Mon
01/11/2010,05:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=november.2010#detail=27167,46.0%,,48.8%,Mon
01/11/2010,07:00,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=november.2010#detail=38032,,,,Mon
01/11/2010,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=november.2010#detail=29244,,,,Mon
01/11/2010,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2010#detail=24683,59.2,59.5,59.7,Mon
01/11/2010,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2010#detail=24561,54.9,53.2,53.4,Mon
01/11/2010,12:30,USD,orange,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=november.2010#detail=26148,0.0%,0.1%,0.1%,Mon
01/11/2010,,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=november.2010#detail=26146,0.2%,0.4%,0.5%,Mon
01/11/2010,,USD,yellow,Personal Income m/m,https://www.forexfactory.com/calendar?month=november.2010#detail=26147,-0.1%,0.3%,0.4%,Mon
01/11/2010,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2010#detail=24818,56.9,54.2,54.4,Mon
01/11/2010,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=november.2010#detail=25375,0.5%,-0.5%,-0.2%,Mon
01/11/2010,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=november.2010#detail=24819,71.0,70.7,70.5,Mon
01/11/2010,21:45,NZD,red,Labor Cost Index q/q,https://www.forexfactory.com/calendar?month=november.2010#detail=27494,0.6%,0.5%,0.4%,Mon
