date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/11/2022,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2022#detail=126990,50.7,50.7,50.7,Tue,Africa/Lagos
01/11/2022,02:45,CNY,yellow,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2022#detail=123631,49.2,48.5,48.1,Tue,Africa/Lagos
01/11/2022,04:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=november.2022#detail=125661,2.85%,2.85%,2.60%,Tue,Africa/Lagos
01/11/2022,04:30,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=november.2022#detail=125672,,,,Tue,Africa/Lagos
01/11/2022,04:35,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=november.2022#detail=126968,0.25|5.2,,0.25|5.6,Tue,Africa/Lagos
01/11/2022,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=november.2022#detail=124884,22.4%,,31.9%,Tue,Africa/Lagos
01/11/2022,08:00,EUR,yellow,German Import Prices m/m,https://www.forexfactory.com/calendar?month=november.2022#detail=125566,-0.9%,0.7%,4.3%,Tue,Africa/Lagos
01/11/2022,08:00,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=november.2022#detail=124719,-0.9%,-0.4%,0.0%,Tue,Africa/Lagos
01/11/2022,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=november.2022#detail=126570,,,,Tue,Africa/Lagos
01/11/2022,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=november.2022#detail=126586,,,,Tue,Africa/Lagos
01/11/2022,09:00,CHF,yellow,SECO Consumer Climate,https://www.forexfactory.com/calendar?month=november.2022#detail=125095,-47,-43,-42,Tue,Africa/Lagos
01/11/2022,09:20,AUD,red,RBA Gov Lowe Speaks,https://www.forexfactory.com/calendar?month=november.2022#detail=131070,,,,Tue,Africa/Lagos
01/11/2022,09:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2022#detail=122494,54.9,55.5,57.1,Tue,Africa/Lagos
01/11/2022,10:30,GBP,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2022#detail=122498,46.2,45.8,45.8,Tue,Africa/Lagos
01/11/2022,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2022#detail=123314,48.8,,49.8,Tue,Africa/Lagos
01/11/2022,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2022#detail=123159,50.4,49.9,49.9,Tue,Africa/Lagos
01/11/2022,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=november.2022#detail=123123,50.2,50.0,50.9,Tue,Africa/Lagos
01/11/2022,15:00,USD,red,JOLTS Job Openings,https://www.forexfactory.com/calendar?month=november.2022#detail=126189,10.72M,9.75M,10.28M,Tue,Africa/Lagos
01/11/2022,15:00,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=november.2022#detail=124202,0.2%,-0.5%,-0.6%,Tue,Africa/Lagos
01/11/2022,15:00,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=november.2022#detail=123135,46.6,53.0,51.7,Tue,Africa/Lagos
01/11/2022,All Day,USD,yellow,Wards Total Vehicle Sales,https://www.forexfactory.com/calendar?month=november.2022#detail=123907,14.9M,14.5M,13.5M,Tue,Africa/Lagos
