date,time,currency,impact,event,detail,actual,forecast,previous,day
01/10/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2009#detail=23549,,,,Thu
01/10/2009,00:58,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=18441,54.3,,54.0,Thu
01/10/2009,06:00,EUR,orange,German Retail Sales m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11798,-1.5%,0.0%,0.7%,Thu
01/10/2009,06:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=october.2009#detail=14063,-32.3%,,-30.4%,Thu
01/10/2009,07:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=43822,45.8,,47.2,Thu
01/10/2009,07:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=11107,54.3,51.5,50.2,Thu
01/10/2009,07:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=43476,47.6,45.3,44.2,Thu
01/10/2009,07:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=58855,53.0,52.5,52.5,Thu
01/10/2009,07:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=58975,49.6,49.6,49.6,Thu
01/10/2009,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=10934,49.3,49.0,49.0,Thu
01/10/2009,08:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=10891,49.5,50.2,49.7,Thu
01/10/2009,,GBP,orange,BOE Credit Conditions Survey,https://www.forexfactory.com/calendar?month=october.2009#detail=13126,,,,Thu
01/10/2009,09:00,EUR,orange,Unemployment Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=13656,9.6%,9.6%,9.5%,Thu
01/10/2009,09:12,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2009#detail=43353,3.57|1.6,,3.56|1.9,Thu
01/10/2009,11:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=october.2009#detail=13850,-30.2%,,-13.8%,Thu
01/10/2009,12:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=october.2009#detail=14717,551K,532K,534K,Thu
01/10/2009,,USD,orange,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11468,0.1%,0.1%,0.1%,Thu
01/10/2009,,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11467,1.3%,1.2%,0.3%,Thu
01/10/2009,,USD,yellow,Personal Income m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11447,0.2%,0.1%,0.2%,Thu
01/10/2009,13:00,USD,red,Fed Chairman Bernanke Testifies,https://www.forexfactory.com/calendar?month=october.2009#detail=25666,,,,Thu
01/10/2009,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=10787,52.6,53.9,52.9,Thu
01/10/2009,,USD,red,Pending Home Sales m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13336,6.4%,0.9%,3.2%,Thu
01/10/2009,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11124,0.8%,-0.1%,-1.1%,Thu
01/10/2009,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=october.2009#detail=10789,63.5,66.1,65.0,Thu
01/10/2009,14:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=october.2009#detail=11750,64B,62B,67B,Thu
01/10/2009,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=october.2009#detail=12965,9.2M,9.9M,14.1M,Thu
01/10/2009,21:30,USD,yellow,FOMC Member Lockhart Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=25183,,,,Thu
01/10/2009,23:30,JPY,orange,Household Spending y/y,https://www.forexfactory.com/calendar?month=october.2009#detail=14558,2.6%,-0.1%,-2.0%,Thu
01/10/2009,,JPY,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=14268,5.5%,5.8%,5.7%,Thu
01/10/2009,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=october.2009#detail=13826,4.5%,6.2%,6.1%,Thu
02/10/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2009#detail=23561,,,,Fri
02/10/2009,00:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13106,0.0%,,0.0%,Fri
02/10/2009,06:00,GBP,red,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12429,0.9%,0.8%,1.4%,Fri
02/10/2009,07:00,EUR,yellow,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=october.2009#detail=44001,80.4K,,85.0K,Fri
02/10/2009,08:30,GBP,orange,Construction PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=10892,46.7,48.2,47.7,Fri
02/10/2009,,GBP,yellow,Housing Equity Withdrawal q/q,https://www.forexfactory.com/calendar?month=october.2009#detail=12336,-7.0B,-6.8B,-7.3B,Fri
02/10/2009,09:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12978,0.4%,0.5%,-0.7%,Fri
02/10/2009,12:30,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=october.2009#detail=10619,-263K,-179K,-201K,Fri
02/10/2009,,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=10618,9.8%,9.8%,9.7%,Fri
02/10/2009,,USD,orange,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=10620,0.1%,0.2%,0.4%,Fri
02/10/2009,14:00,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11544,-0.8%,0.2%,1.4%,Fri
03/10/2009,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=42281,58.9,,59.9,Sat
03/10/2009,All Day,All,red,G7 Meetings,https://www.forexfactory.com/calendar?month=october.2009#detail=25778,,,,Sat
03/10/2009,All Day,EUR,yellow,Irish Lisbon Treaty Vote,https://www.forexfactory.com/calendar?month=october.2009#detail=25779,Yes,Yes,No,Sat
03/10/2009,15:30,USD,red,Treasury Sec Geithner Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=25777,,,,Sat
03/10/2009,16:00,AUD,gray,Daylight Saving Time Shift,https://www.forexfactory.com/calendar?month=october.2009#detail=12119,,,,Sat
04/10/2009,All Day,EUR,yellow,Greek Parliamentary Election,https://www.forexfactory.com/calendar?month=october.2009#detail=43393,,,,Sun
04/10/2009,All Day,AUD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2009#detail=12756,,,,Sun
04/10/2009,22:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=october.2009#detail=10871,49.3,,48.0,Sun
05/10/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2009#detail=23562,,,,Mon
05/10/2009,00:30,AUD,orange,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=19271,4.4%,,4.1%,Mon
05/10/2009,02:03,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13987,6.8%,,4.3%,Mon
05/10/2009,07:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=43918,46.4,,45.3,Mon
05/10/2009,07:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=43536,48.5,47.3,46.4,Mon
05/10/2009,07:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=59113,53.2,52.2,52.2,Mon
05/10/2009,07:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=59125,52.1,52.2,52.2,Mon
05/10/2009,08:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=10964,50.9,50.6,50.6,Mon
05/10/2009,08:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=october.2009#detail=13779,-12.6,-12.0,-14.6,Mon
05/10/2009,,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=10893,55.3,54.6,54.1,Mon
05/10/2009,09:00,EUR,orange,Retail Sales m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12995,-0.2%,-0.4%,-0.2%,Mon
05/10/2009,14:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=10788,50.9,50.0,48.4,Mon
05/10/2009,21:00,NZD,red,NZIER Business Confidence,https://www.forexfactory.com/calendar?month=october.2009#detail=13043,36,,-25,Mon
05/10/2009,22:30,USD,yellow,FOMC Member Dudley Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=25667,,,,Mon
06/10/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2009#detail=23563,,,,Tue
06/10/2009,00:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=october.2009#detail=12837,-1.52B,-0.89B,-1.78B,Tue
06/10/2009,03:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=10585,3.25%,3.00%,3.00%,Tue
06/10/2009,,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=october.2009#detail=10586,,,,Tue
06/10/2009,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2009#detail=49007,1.26|3.5,,1.33|2.9,Tue
06/10/2009,06:45,EUR,yellow,French Gov Budget Balance,https://www.forexfactory.com/calendar?month=october.2009#detail=13951,-127.6B,,-109.0B,Tue
06/10/2009,07:00,CHF,red,Foreign Currency Reserves,https://www.forexfactory.com/calendar?month=october.2009#detail=42172,82B,,82B,Tue
06/10/2009,07:15,CHF,orange,CPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13545,0.0%,0.1%,0.1%,Tue
06/10/2009,Day 1,All,yellow,IMF Meetings,https://www.forexfactory.com/calendar?month=october.2009#detail=19793,,,,Tue
06/10/2009,08:00,GBP,red,Halifax HPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12258,1.6%,0.6%,0.8%,Tue
06/10/2009,08:30,GBP,red,Manufacturing Production m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=10823,-1.9%,0.4%,0.7%,Tue
06/10/2009,,GBP,yellow,Industrial Production m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=10822,-2.5%,0.1%,0.5%,Tue
06/10/2009,12:30,CAD,red,Building Permits m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13503,7.2%,4.5%,-10.0%,Tue
06/10/2009,13:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=october.2009#detail=56222,6.2%,,23.9%,Tue
06/10/2009,14:00,CAD,red,Ivey PMI,https://www.forexfactory.com/calendar?month=october.2009#detail=13863,61.7,56.6,55.7,Tue
06/10/2009,,GBP,orange,NIESR GDP Estimate,https://www.forexfactory.com/calendar?month=october.2009#detail=13274,0.0%,,0.1%,Tue
06/10/2009,22:30,AUD,yellow,AIG Construction Index,https://www.forexfactory.com/calendar?month=october.2009#detail=10873,50.8,,42.4,Tue
06/10/2009,23:01,GBP,orange,Nationwide Consumer Confidence,https://www.forexfactory.com/calendar?month=october.2009#detail=13018,71,68,65,Tue
06/10/2009,,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=october.2009#detail=12714,-0.1%,,-0.1%,Tue
07/10/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2009#detail=23564,,,,Wed
07/10/2009,00:30,AUD,red,Home Loans m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13092,-0.6%,-0.6%,-2.2%,Wed
07/10/2009,05:00,JPY,yellow,Leading Indicators,https://www.forexfactory.com/calendar?month=october.2009#detail=14435,83.3%,83.4%,82.5%,Wed
07/10/2009,05:45,CHF,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=13585,4.1%,4.1%,4.0%,Wed
07/10/2009,Day 2,All,orange,IMF Meetings,https://www.forexfactory.com/calendar?month=october.2009#detail=19794,,,,Wed
07/10/2009,09:00,EUR,orange,Final GDP q/q,https://www.forexfactory.com/calendar?month=october.2009#detail=21674,-0.2%,-0.1%,-0.1%,Wed
07/10/2009,09:05,EUR,yellow,German 30-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2009#detail=43224,3.84|1.6,,4.44|2.2,Wed
07/10/2009,10:00,EUR,orange,German Factory Orders m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11693,1.4%,1.3%,3.1%,Wed
07/10/2009,14:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=october.2009#detail=14659,-1.0M,2.0M,2.8M,Wed
07/10/2009,17:00,USD,orange,10-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2009#detail=43087,3.21|3.0,,3.51|2.8,Wed
07/10/2009,19:00,USD,yellow,Consumer Credit m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11584,-12.0B,-9.9B,-19.0B,Wed
07/10/2009,23:50,JPY,yellow,Current Account,https://www.forexfactory.com/calendar?month=october.2009#detail=14536,1.23T,1.17T,1.16T,Wed
08/10/2009,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2009#detail=23565,,,,Thu
08/10/2009,00:30,AUD,red,Employment Change,https://www.forexfactory.com/calendar?month=october.2009#detail=13528,40.6K,-9.7K,-26.1K,Thu
08/10/2009,,AUD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=13527,5.7%,6.0%,5.8%,Thu
08/10/2009,03:45,JPY,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2009#detail=49071,2.14|3.3,,2.32|3.3,Thu
08/10/2009,05:00,JPY,yellow,Economy Watchers Sentiment,https://www.forexfactory.com/calendar?month=october.2009#detail=14434,43.1,42.5,41.7,Thu
08/10/2009,06:00,JPY,yellow,Prelim Machine Tool Orders y/y,https://www.forexfactory.com/calendar?month=october.2009#detail=14603,-61.9%,,-71.5%,Thu
08/10/2009,06:45,EUR,yellow,French Trade Balance,https://www.forexfactory.com/calendar?month=october.2009#detail=13875,-3.4B,-2.4B,-1.0B,Thu
08/10/2009,09:00,GBP,yellow,CB Leading Index m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=14047,0.9%,,0.5%,Thu
08/10/2009,10:00,EUR,orange,German Industrial Production m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11681,1.7%,1.9%,-1.1%,Thu
