date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/10/2020,00:50,JPY,yellow,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=october.2020#detail=114819,-27,-23,-34,Thu,Africa/Lagos
01/10/2020,00:50,JPY,yellow,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=october.2020#detail=114820,-12,-9,-17,Thu,Africa/Lagos
01/10/2020,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2020#detail=115900,,,,Thu,Africa/Lagos
01/10/2020,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=114810,47.7,47.3,47.3,Thu,Africa/Lagos
01/10/2020,04:35,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2020#detail=114782,0.02|4.1,,0.03|3.2,Thu,Africa/Lagos
01/10/2020,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=october.2020#detail=114727,-5.8%,,-10.2%,Thu,Africa/Lagos
01/10/2020,07:30,CHF,yellow,CPI m/m,https://www.forexfactory.com/calendar?month=october.2020#detail=112054,0.0%,0.0%,0.0%,Thu,Africa/Lagos
01/10/2020,07:30,CHF,yellow,Retail Sales y/y,https://www.forexfactory.com/calendar?month=october.2020#detail=111994,2.5%,4.5%,3.6%,Thu,Africa/Lagos
01/10/2020,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111462,50.8,50.5,49.9,Thu,Africa/Lagos
01/10/2020,08:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111958,53.1,53.4,51.8,Thu,Africa/Lagos
01/10/2020,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111463,53.2,53.6,53.1,Thu,Africa/Lagos
01/10/2020,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111466,51.2,50.9,50.9,Thu,Africa/Lagos
01/10/2020,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111464,56.4,56.6,56.6,Thu,Africa/Lagos
01/10/2020,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111465,53.7,53.7,53.7,Thu,Africa/Lagos
01/10/2020,09:00,EUR,yellow,Italian Monthly Unemployment Rate,https://www.forexfactory.com/calendar?month=october.2020#detail=111738,9.7%,10.2%,9.8%,Thu,Africa/Lagos
01/10/2020,09:30,GBP,orange,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111461,54.1,54.3,54.3,Thu,Africa/Lagos
01/10/2020,09:55,EUR,yellow,Spanish 10-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2020#detail=111823,0.22|3.2,,0.05|2.4,Thu,Africa/Lagos
01/10/2020,10:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=october.2020#detail=112687,0.1%,0.2%,0.7%,Thu,Africa/Lagos
01/10/2020,10:00,EUR,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=october.2020#detail=112604,8.1%,8.1%,8.0%,Thu,Africa/Lagos
01/10/2020,10:01,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=october.2020#detail=111822,-0.25|1.8,,-0.19|1.6,Thu,Africa/Lagos
01/10/2020,11:20,GBP,yellow,MPC Member Haldane Speaks,https://www.forexfactory.com/calendar?month=october.2020#detail=116411,,,,Thu,Africa/Lagos
01/10/2020,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=october.2020#detail=111120,185.9%,,116.5%,Thu,Africa/Lagos
01/10/2020,13:30,CAD,yellow,Building Permits m/m,https://www.forexfactory.com/calendar?month=october.2020#detail=114369,1.7%,2.0%,-1.6%,Thu,Africa/Lagos
01/10/2020,13:30,USD,orange,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=october.2020#detail=111225,0.3%,0.3%,0.4%,Thu,Africa/Lagos
01/10/2020,13:30,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=october.2020#detail=111224,1.0%,0.7%,1.5%,Thu,Africa/Lagos
01/10/2020,13:30,USD,orange,Unemployment Claims,https://www.forexfactory.com/calendar?month=october.2020#detail=110805,837K,850K,873K,Thu,Africa/Lagos
01/10/2020,13:30,USD,yellow,Personal Income m/m,https://www.forexfactory.com/calendar?month=october.2020#detail=111223,-2.7%,-2.0%,0.5%,Thu,Africa/Lagos
01/10/2020,14:30,CAD,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=113651,56.0,,55.1,Thu,Africa/Lagos
01/10/2020,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111460,53.2,53.5,53.5,Thu,Africa/Lagos
01/10/2020,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2020#detail=111458,55.4,56.0,56.0,Thu,Africa/Lagos
01/10/2020,15:00,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=october.2020#detail=113989,1.4%,0.8%,0.7%,Thu,Africa/Lagos
