date,time,currency,impact,event,detail,actual,forecast,previous,day
01/09/2007,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=september.2007#detail=18338,54.0,,53.3,Sat
01/09/2007,12:30,USD,yellow,FOMC Member Mishkin Speaks,https://www.forexfactory.com/calendar?month=september.2007#detail=9301,,,,Sat
01/09/2007,Day 3,All,orange,Jackson Hole Symposium,https://www.forexfactory.com/calendar?month=september.2007#detail=24074,,,,Sat
02/09/2007,23:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=september.2007#detail=5424,52.4,,57.4,Sun
02/09/2007,23:50,JPY,orange,Capital Spending q/y,https://www.forexfactory.com/calendar?month=september.2007#detail=5419,-4.9%,-2.3%,13.6%,Sun
03/09/2007,00:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=september.2007#detail=5425,0.5%,,0.6%,Mon
03/09/2007,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=september.2007#detail=42304,63.2,,61.8,Mon
03/09/2007,01:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=september.2007#detail=5426,0.4%,-1.8%,6.9%,Mon
03/09/2007,,AUD,orange,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=september.2007#detail=19246,0.1%,,-0.5%,Mon
03/09/2007,,AUD,yellow,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=september.2007#detail=11950,1.4%,2.3%,7.3%,Mon
03/09/2007,,JPY,yellow,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=september.2007#detail=5420,-1.9%,-0.5%,-0.9%,Mon
03/09/2007,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=september.2007#detail=18333,53.4,,53.2,Mon
03/09/2007,06:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=september.2007#detail=10301,1.9%,,3.6%,Mon
03/09/2007,07:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=september.2007#detail=43797,52.2,,53.2,Mon
03/09/2007,07:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=september.2007#detail=5442,65.1,62.0,63.0,Mon
03/09/2007,07:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=september.2007#detail=43447,53.6,52.9,53.3,Mon
03/09/2007,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=september.2007#detail=5433,54.3,54.2,54.2,Mon
