date,time,currency,impact,actual,forecast,previous,day,event,detail
01/09/2015,00:30,AUD,yellow,51.7,,50.4,Tue,,
01/09/2015,00:50,JPY,yellow,5.6%,9.0%,7.3%,Tue,,
01/09/2015,02:00,CNY,red,49.7,49.8,50.0,Tue,,
01/09/2015,,CNY,orange,53.4,,53.9,Tue,,
01/09/2015,02:30,AUD,red,4.2%,2.9%,-5.2%,Tue,,
01/09/2015,,AUD,orange,-19.0B,-15.9B,-13.5B,Tue,,
01/09/2015,02:35,JPY,yellow,51.7,51.9,51.9,Tue,,
01/09/2015,02:45,CNY,red,47.3,47.2,47.1,Tue,,
01/09/2015,,CNY,orange,51.5,53.9,53.8,Tue,,
01/09/2015,04:45,JPY,yellow,0.42|3.5,,0.40|2.8,Tue,,
01/09/2015,05:30,AUD,red,2.00%,2.00%,2.00%,Tue,,
01/09/2015,,AUD,red,,,,Tue,,
01/09/2015,07:30,AUD,yellow,-20.9%,,-19.1%,Tue,,
01/09/2015,08:15,EUR,orange,53.2,53.9,53.6,Tue,,
01/09/2015,08:30,CHF,yellow,52.2,49.9,48.7,Tue,,
01/09/2015,08:45,EUR,yellow,53.8,56.2,55.3,Tue,,
01/09/2015,08:50,EUR,yellow,48.3,48.6,48.6,Tue,,
01/09/2015,08:55,EUR,orange,-7K,-3K,8K,Tue,,
01/09/2015,,EUR,yellow,53.3,53.2,53.2,Tue,,
01/09/2015,09:00,EUR,yellow,52.3,52.4,52.4,Tue,,
01/09/2015,,EUR,yellow,12.0%,12.7%,12.5%,Tue,,
01/09/2015,,EUR,yellow,12.4%,12.5%,12.3%,Tue,,
01/09/2015,09:30,GBP,red,51.5,51.9,51.9,Tue,,
01/09/2015,,GBP,orange,3.9B,3.9B,3.9B,Tue,,
01/09/2015,,GBP,yellow,1.0%,0.2%,-0.5%,Tue,,
01/09/2015,,GBP,yellow,69K,68K,67K,Tue,,
01/09/2015,10:00,EUR,orange,10.9%,11.1%,11.1%,Tue,,
01/09/2015,13:30,CAD,red,0.5%,0.2%,-0.2%,Tue,,
01/09/2015,14:30,CAD,yellow,49.4,,50.8,Tue,,
01/09/2015,14:45,USD,yellow,53.0,52.9,52.9,Tue,,
01/09/2015,15:00,USD,red,51.1,52.6,52.7,Tue,,
01/09/2015,,USD,yellow,0.7%,0.8%,0.7%,Tue,,
01/09/2015,,USD,yellow,39.0,39.7,44.0,Tue,,
01/09/2015,,USD,yellow,42.0,47.3,46.9,Tue,,
01/09/2015,15:49,NZD,red,10.9%,,14.8%,Tue,,
01/09/2015,All Day,USD,yellow,17.8M,17.3M,17.6M,Tue,,
02/09/2015,00:50,JPY,yellow,33.3%,33.2%,32.8%,Wed,,
02/09/2015,02:00,NZD,yellow,-5.2%,,-5.5%,Wed,,
02/09/2015,02:30,AUD,red,0.2%,0.4%,0.9%,Wed,,
02/09/2015,08:00,EUR,orange,21.7K,35.3K,-74.0K,Wed,,
02/09/2015,09:30,GBP,red,57.3,57.6,57.1,Wed,,
02/09/2015,10:00,EUR,yellow,-0.1%,-0.1%,-0.1%,Wed,,
02/09/2015,13:15,USD,red,190K,204K,177K,Wed,,
02/09/2015,13:30,USD,orange,3.3%,2.9%,1.3%,Wed,,
02/09/2015,,USD,yellow,-1.4%,-0.5%,0.5%,Wed,,
02/09/2015,15:00,USD,orange,0.4%,0.8%,2.2%,Wed,,
02/09/2015,15:30,USD,orange,4.7M,-0.7M,-5.5M,Wed,,
02/09/2015,19:00,USD,yellow,,,,Wed,,
03/09/2015,00:30,AUD,yellow,55.6,,54.1,Thu,,
03/09/2015,All Day,CNY,gray,,,,Thu,,
03/09/2015,02:30,AUD,red,-2.46B,-3.10B,-3.05B,Thu,,
03/09/2015,,AUD,red,-0.1%,0.4%,0.6%,Thu,,
